SECTOR F,Fermi Bubbles,,,,,ANALYSIS,
Regime,Count,Description,,,,,
F. Fermi Bubbles,10,Fermi Bubbles,,,,Cumulative,
Target Coordinate,RA,DEC,start_xyz,search_radius,Type,Closest OFFSET,0.02
17h45m41.16s -29d00m57.83s,1.2523,40.3961,Metric Spacetime Anomaly,0.83,MATCH: [MES2015] 1353 (smm),,
17h45m40.39s -28d59m55.35s,0.3971,12.7069,Trefoil Metric Schema,0.72,MATCH: [FNS2015] 450 (*),,
17h45m38.68s -28d59m52.17s,0.3879,24.0097,Trefoil Metric Schema,0.81,MATCH: CXOGC J174538.6-285952 (X),,
17h45m41.21s -29d00m41.32s,0.237,253.7152,Localized Torsional Inflection,1.17,MATCH: [FNS2015] 1060 (*),,
17h45m41.63s -28d59m55.52s,0.3363,92.6364,Helical Metric Schema,2.59,MATCH: [BSD96] 117 (*),,
17h45m37.48s -28d59m53.82s,0.2623,36.9507,Gasious Substrate Schema,1.97,MATCH: [MES2015] 1357 (smm),,
17h45m39.48s -29d00m08.40s,0.2959,37.583,Solenoidal Metric Schema (Iron),0.29,MATCH: [NS2013] 34 (*),,
17h45m40.02s -29d01m39.40s,0.197,187.0261,Minkowskian Baseline,4.53,MATCH: 1LC 359.927-0.055 (Rad),,
17h45m37.68s -29d00m52.87s,0.6005,108.6473,Metric Spacetime Anomaly,2.85,MATCH: [BSD96] 159 (*),,
17h45m42.00s -28d59m35.14s,0.4522,187.0829,Metric Spacetime Anomaly,4.94,MATCH: CXOU J174541.6-285933 (X),,
17h45m40.21s -29d01m17.29s,0.8485,39.5349,Baryonic Metric Substrate,6.92,MATCH: CXOGC J174540.7-290115 (X),,
17h45m42.14s -29d01m05.51s,0.2456,1020.0672,Localized Torsional Inflection,4.88,MATCH: [BSD96] 199 (*),,
17h45m38.63s -29d01m36.43s,0.4388,73.8561,Trefoil Metric Schema,0.62,MATCH: [NS2013] 58 (*),,
17h45m36.81s -29d00m49.82s,0.2469,17.9322,Gasious Substrate Schema,2.01,MATCH: [MBB2008] G359.933-0.039 (X),,
17h45m41.54s -28d59m41.21s,0.2438,151.9029,Gasious Substrate Schema,2.19,MATCH: [MES2015] 1367 (smm),,
17h45m41.03s -29d00m55.24s,0.4112,232.4624,Trefoil Metric Schema,1.25,MATCH: CXOGC J174540.9-290056 (X),,
17h45m38.45s -29d01m41.53s,0.2999,88.9543,Solenoidal Metric Schema (Iron),2.43,MATCH: CXOGC J174538.6-290142 (X),,
17h45m38.70s -29d00m48.60s,0.5544,339.2207,Localized Torsional Inflection,1.43,MATCH: [FNS2015] 1826 (*),,
17h45m34.91s -29d00m37.90s,0.4082,96.286,Trefoil Metric Schema,2.53,MATCH: CXOGC J174534.8-290040 (X),,
17h45m41.92s -29d00m26.70s,0.1942,532.1064,Minkowskian Baseline,0.36,MATCH: [FNS2015] 751 (*),,
