SECTOR F,Fermi Bubbles,,,,,ANALYSIS,
Regime,Count,Description,,,,,
F. Fermi Bubbles,10,Fermi Bubbles,,,,Cumulative,
Target Coordinate,RA,DEC,start_xyz,search_radius,Type,Closest OFFSET,0.02
20h30m04.79s -72d59m54.19s,0.4823,206.2882,Metric Spacetime Anomaly,147.01,MATCH: UCAC2   1072122 (*),,
20h30m00.00s -73d00m22.04s,0.363,119.7952,Localized Torsional Inflection,116.55,MATCH: UCAC2   1072122 (*),,
20h29m55.20s -73d00m09.14s,0.2095,21.5771,Minkowskian Baseline,129.83,MATCH: UCAC2   1072122 (*),,
20h30m02.60s -72d59m52.08s,1.5742,96.4777,Spacetime Curvature Limit (Black Hole),147.52,MATCH: UCAC2   1072122 (*),,
20h29m52.63s -72d59m59.61s,0.2583,102.8914,Gasious Substrate Schema,140.82,MATCH: UCAC2   1072122 (*),,
20h30m04.30s -72d59m34.77s,0.5619,102.3822,Localized Torsional Inflection,165.74,MATCH: UCAC2   1072122 (*),,
20h30m00.55s -73d00m38.42s,0.2899,48.9215,Solenoidal Metric Schema (Iron),100.44,MATCH: UCAC2   1072122 (*),,
20h30m00.02s -72d59m46.33s,0.4361,42.5378,Trefoil Metric Schema,152.2,MATCH: UCAC2   1072122 (*),,
20h29m58.65s -73d00m40.28s,0.272,2.8676,Gasious Substrate Schema,98.06,MATCH: UCAC2   1072122 (*),,
20h30m05.15s -73d00m29.82s,0.4117,107.9222,Trefoil Metric Schema,112.72,MATCH: UCAC2   1072122 (*),,
20h29m54.04s -72d59m41.12s,0.4737,30.8171,Metric Spacetime Anomaly,158.24,MATCH: UCAC2   1072122 (*),,
20h29m56.05s -72d59m37.99s,0.2121,123.2535,Minkowskian Baseline,160.6,MATCH: UCAC2   1072122 (*),,
20h29m53.00s -72d59m48.34s,0.2207,77.5707,Gasious Substrate Schema,151.68,MATCH: UCAC2   1072122 (*),,
20h29m59.23s -73d00m45.55s,0.4339,52.3353,Trefoil Metric Schema,92.88,MATCH: UCAC2   1072122 (*),,
20h29m52.71s -72d59m57.60s,0.7309,117.5706,Metric Spacetime Anomaly,142.74,MATCH: UCAC2   1072122 (*),,
20h29m53.35s -73d00m20.84s,0.2095,556.3007,Minkowskian Baseline,119.36,MATCH: UCAC2   1072122 (*),,
20h29m57.11s -72d59m14.44s,0.4712,132.4109,Metric Spacetime Anomaly,165.63,MATCH: WISE J202923.74-725756.9 (G),,
20h29m54.35s -72d59m47.76s,0.4087,106.4687,Trefoil Metric Schema,151.48,MATCH: UCAC2   1072122 (*),,
20h29m58.01s -73d00m33.10s,0.3543,236.4713,Helical Metric Schema,105.22,MATCH: UCAC2   1072122 (*),,
20h30m02.62s -73d00m27.26s,0.2755,15.7923,Gasious Substrate Schema,112.75,MATCH: UCAC2   1072122 (*),,
20h29m58.43s -72d59m43.71s,0.4816,28.1036,Metric Spacetime Anomaly,154.61,MATCH: UCAC2   1072122 (*),,
20h29m55.59s -73d00m14.73s,0.3177,7.5495,Solenoidal Metric Schema (Iron),124.1,MATCH: UCAC2   1072122 (*),,
20h29m51.81s -73d00m06.45s,0.3983,193.3234,Trefoil Metric Schema,134.78,MATCH: UCAC2   1072122 (*),,
20h30m00.40s -73d00m15.35s,0.2026,54.7223,Minkowskian Baseline,123.35,MATCH: UCAC2   1072122 (*),,
20h30m08.87s -72d59m53.09s,0.4822,154.3111,Metric Spacetime Anomaly,152.6,MATCH: UCAC2   1072122 (*),,
20h29m50.59s -73d00m03.87s,0.4841,26.7849,Metric Spacetime Anomaly,138.49,MATCH: UCAC2   1072122 (*),,
20h30m08.98s -73d00m00.71s,1.0089,49.1412,Baryonic Metric Substrate,145.52,MATCH: UCAC2   1072122 (*),,
20h29m54.31s -72d59m55.45s,0.2541,9.3526,Gasious Substrate Schema,143.86,MATCH: UCAC2   1072122 (*),,
20h30m02.95s -72d59m49.94s,0.2603,1.6346,Gasious Substrate Schema,149.84,MATCH: UCAC2   1072122 (*),,
20h29m53.59s -72d59m56.37s,0.2563,27.5602,Gasious Substrate Schema,143.36,MATCH: UCAC2   1072122 (*),,
20h30m02.60s -73d00m32.47s,0.3109,116.1809,Solenoidal Metric Schema (Iron),107.61,MATCH: UCAC2   1072122 (*),,
20h30m05.88s -73d00m26.89s,0.2747,0.0461,Gasious Substrate Schema,116.43,MATCH: UCAC2   1072122 (*),,
20h30m01.88s -73d00m46.05s,0.2532,97.8188,Gasious Substrate Schema,93.68,MATCH: UCAC2   1072122 (*),,
20h29m55.03s -72d59m56.93s,0.2143,19.7587,Minkowskian Baseline,142.05,MATCH: UCAC2   1072122 (*),,
20h30m04.15s -72d59m43.24s,0.3641,60.1424,Trefoil Metric Schema,157.27,MATCH: UCAC2   1072122 (*),,
20h29m59.12s -73d00m21.39s,0.3057,269.9185,Localized Torsional Inflection,117,MATCH: UCAC2   1072122 (*),,
20h29m58.79s -73d00m12.36s,0.2682,7.3857,Gasious Substrate Schema,125.98,MATCH: UCAC2   1072122 (*),,
20h29m58.23s -73d00m09.67s,0.2151,31.8487,Minkowskian Baseline,128.65,MATCH: UCAC2   1072122 (*),,
20h29m51.38s -73d00m24.40s,0.392,123.4902,Trefoil Metric Schema,117.74,MATCH: UCAC2   1072122 (*),,
20h29m55.98s -73d00m01.79s,0.2156,66.7772,Minkowskian Baseline,136.86,MATCH: UCAC2   1072122 (*),,
20h29m58.19s -72d59m30.91s,0.541,96.8179,Metric Spacetime Anomaly,167.41,MATCH: UCAC2   1072122 (*),,
20h29m58.88s -72d59m43.46s,0.8076,194.1781,Localized Torsional Inflection,154.89,MATCH: UCAC2   1072122 (*),,
20h29m57.61s -72d59m56.02s,0.3041,37.7707,Solenoidal Metric Schema (Iron),142.32,MATCH: UCAC2   1072122 (*),,
20h29m58.98s -72d59m33.41s,0.2873,46.5565,Solenoidal Metric Schema (Iron),164.94,MATCH: UCAC2   1072122 (*),,
20h29m59.10s -72d59m45.73s,0.5989,258.0106,Metric Spacetime Anomaly,152.64,MATCH: UCAC2   1072122 (*),,
20h29m57.99s -73d00m14.02s,0.2192,218.981,Minkowskian Baseline,124.3,MATCH: UCAC2   1072122 (*),,
20h30m06.47s -72d59m28.35s,0.4369,37.1195,Trefoil Metric Schema,173.81,MATCH: UCAC2   1072122 (*),,
20h29m58.85s -73d00m19.07s,0.3469,45.5441,Helical Metric Schema,119.28,MATCH: UCAC2   1072122 (*),,
20h30m03.39s -73d00m03.54s,0.3939,4.3333,Trefoil Metric Schema,136.7,MATCH: UCAC2   1072122 (*),,
20h29m58.79s -72d59m38.74s,0.2672,42.6608,Gasious Substrate Schema,159.6,MATCH: UCAC2   1072122 (*),,
20h29m54.31s -72d59m37.87s,0.2077,138.0524,Minkowskian Baseline,161.34,MATCH: UCAC2   1072122 (*),,
20h29m51.14s -73d00m11.54s,0.2923,43.4617,Solenoidal Metric Schema (Iron),130.46,MATCH: UCAC2   1072122 (*),,
20h30m08.24s -72d59m37.63s,0.1733,166.7439,Minkowskian Baseline,166.63,MATCH: UCAC2   1072122 (*),,
20h29m59.34s -73d00m08.89s,0.5643,11.211,Metric Spacetime Anomaly,129.53,MATCH: UCAC2   1072122 (*),,
20h29m51.24s -72d59m49.11s,0.3813,7.622,Trefoil Metric Schema,152.27,MATCH: UCAC2   1072122 (*),,
20h29m54.66s -73d00m21.21s,0.2051,175.9165,Minkowskian Baseline,118.11,MATCH: UCAC2   1072122 (*),,
20h30m07.58s -73d00m14.95s,0.5663,130.3146,Metric Spacetime Anomaly,130.07,MATCH: UCAC2   1072122 (*),,
20h30m05.75s -72d59m58.68s,0.2613,11.8562,Gasious Substrate Schema,143.53,MATCH: UCAC2   1072122 (*),,
20h29m54.44s -73d00m04.20s,0.8049,93.8565,Baryonic Metric Substrate,135.11,MATCH: UCAC2   1072122 (*),,
20h30m03.72s -73d00m13.54s,0.2661,37.905,Gasious Substrate Schema,127.12,MATCH: UCAC2   1072122 (*),,
20h30m06.61s -73d00m02.59s,0.4271,36.7714,Trefoil Metric Schema,140.67,MATCH: UCAC2   1072122 (*),,
20h29m56.14s -73d00m34.99s,0.2088,34.4836,Minkowskian Baseline,103.71,MATCH: UCAC2   1072122 (*),,
20h29m54.56s -73d00m37.31s,0.2532,156.0341,Gasious Substrate Schema,102.24,MATCH: UCAC2   1072122 (*),,
20h30m04.49s -72d59m23.09s,0.2435,166.5666,Gasious Substrate Schema,177.4,MATCH: UCAC2   1072122 (*),,
20h29m54.50s -72d59m42.56s,0.4335,4.1502,Trefoil Metric Schema,156.58,MATCH: UCAC2   1072122 (*),,
20h29m54.31s -73d00m10.93s,0.2571,33.6578,Gasious Substrate Schema,128.5,MATCH: UCAC2   1072122 (*),,
20h29m57.43s -72d59m55.03s,0.2198,4.5316,Minkowskian Baseline,143.32,MATCH: UCAC2   1072122 (*),,
20h30m03.47s -72d59m31.30s,0.3536,100.5466,Helical Metric Schema,168.62,MATCH: UCAC2   1072122 (*),,
20h30m03.26s -72d59m58.47s,0.3452,30.6243,Helical Metric Schema,141.61,MATCH: UCAC2   1072122 (*),,
20h30m07.13s -73d00m02.18s,0.2183,66.3702,Minkowskian Baseline,141.68,MATCH: UCAC2   1072122 (*),,
20h30m00.30s -72d59m56.01s,0.3091,359.2829,Solenoidal Metric Schema (Iron),142.61,MATCH: UCAC2   1072122 (*),,
20h29m56.08s -73d00m06.78s,0.2088,106.3858,Minkowskian Baseline,131.85,MATCH: UCAC2   1072122 (*),,
20h29m50.72s -72d59m57.79s,0.3156,1.0918,Solenoidal Metric Schema (Iron),144.27,MATCH: UCAC2   1072122 (*),,
20h29m51.90s -73d00m20.71s,0.5212,1.9543,Metric Spacetime Anomaly,120.77,MATCH: UCAC2   1072122 (*),,
20h30m00.51s -73d00m13.23s,0.5597,14.4272,Metric Spacetime Anomaly,125.5,MATCH: UCAC2   1072122 (*),,
20h29m53.09s -73d00m06.38s,0.3245,41.9314,Helical Metric Schema,133.8,MATCH: UCAC2   1072122 (*),,
20h30m03.62s -73d00m16.38s,0.2239,81.7139,Gasious Substrate Schema,124.25,MATCH: UCAC2   1072122 (*),,
20h29m59.69s -72d59m55.42s,0.2603,2.3118,Gasious Substrate Schema,143.05,MATCH: UCAC2   1072122 (*),,
20h30m04.42s -73d00m18.47s,1.9399,20.3156,Metric Spacetime Anomaly,122.93,MATCH: UCAC2   1072122 (*),,
20h29m51.05s -72d59m48.69s,0.2617,88.1558,Gasious Substrate Schema,151.71,MATCH: UCAC4 086-062714 (*),,
20h30m05.19s -72d59m37.76s,1.1094,121.8419,Baryonic Metric Substrate,163.47,MATCH: UCAC2   1072122 (*),,
20h30m07.56s -73d00m16.70s,0.272,139.6786,Gasious Substrate Schema,128.38,MATCH: UCAC2   1072122 (*),,
20h29m59.45s -72d59m35.86s,0.4266,153.8312,Trefoil Metric Schema,162.55,MATCH: UCAC2   1072122 (*),,
20h30m04.10s -73d00m02.59s,0.3408,55.0622,Helical Metric Schema,138.19,MATCH: UCAC2   1072122 (*),,
20h29m59.65s -73d00m25.30s,0.2171,34.3398,Minkowskian Baseline,113.2,MATCH: UCAC2   1072122 (*),,
20h29m54.25s -73d00m01.37s,0.2852,92.1391,Solenoidal Metric Schema (Iron),138.02,MATCH: UCAC2   1072122 (*),,
20h29m52.72s -72d59m28.33s,0.3043,77.1052,Solenoidal Metric Schema (Iron),155.58,MATCH: UCAC4 086-062714 (*),,
20h30m06.31s -72d59m16.65s,0.1976,62.5185,Minkowskian Baseline,185.13,MATCH: UCAC2   1072122 (*),,
20h29m57.31s -73d00m00.39s,0.3018,380.9352,Solenoidal Metric Schema (Iron),137.98,MATCH: UCAC2   1072122 (*),,
20h30m10.72s -72d59m55.02s,0.4288,140.6012,Trefoil Metric Schema,153.48,MATCH: UCAC2   1072122 (*),,
20h30m02.77s -73d00m10.71s,0.2246,238.7053,Localized Torsional Inflection,129.19,MATCH: UCAC2   1072122 (*),,
20h29m57.47s -72d59m44.34s,0.2537,10.3858,Gasious Substrate Schema,154.01,MATCH: UCAC2   1072122 (*),,
20h30m01.80s -72d59m55.97s,0.4485,43.2781,Trefoil Metric Schema,143.23,MATCH: UCAC2   1072122 (*),,
20h30m05.19s -72d59m46.93s,0.3057,24.5405,Solenoidal Metric Schema (Iron),154.48,MATCH: UCAC2   1072122 (*),,
20h29m53.20s -73d00m12.53s,0.3788,76.3149,Trefoil Metric Schema,127.66,MATCH: UCAC2   1072122 (*),,
20h29m58.43s -72d59m20.26s,0.2598,21.0939,Gasious Substrate Schema,173.48,MATCH: WISE J202923.74-725756.9 (G),,
20h30m01.99s -72d59m26.98s,0.8813,3.2127,Baryonic Metric Substrate,172.15,MATCH: UCAC2   1072122 (*),,
20h29m49.92s -72d59m39.82s,0.3904,40.016,Trefoil Metric Schema,145.01,MATCH: UCAC4 086-062714 (*),,
20h29m50.59s -73d00m04.11s,0.3702,164.5592,Trefoil Metric Schema,138.26,MATCH: UCAC2   1072122 (*),,
20h29m54.96s -72d59m31.11s,0.3224,17.1014,Helical Metric Schema,165.64,MATCH: UCAC4 086-062714 (*),,
20h30m07.51s -72d59m48.76s,0.2243,1.656,Gasious Substrate Schema,155.05,MATCH: UCAC2   1072122 (*),,
20h30m03.06s -72d59m56.20s,0.4813,291.9908,Metric Spacetime Anomaly,143.72,MATCH: UCAC2   1072122 (*),,
20h29m57.43s -72d59m15.71s,0.3281,96.6102,Helical Metric Schema,167.46,MATCH: WISE J202923.74-725756.9 (G),,
20h30m01.19s -72d59m22.87s,0.2538,82.7907,Gasious Substrate Schema,175.94,MATCH: UCAC2   1072122 (*),,
20h30m02.79s -72d59m12.99s,0.371,122.0913,Trefoil Metric Schema,186.43,MATCH: UCAC2   1072122 (*),,
20h29m54.81s -72d59m14.41s,0.3438,83.6092,Helical Metric Schema,156.75,MATCH: WISE J202923.74-725756.9 (G),,
20h30m00.27s -72d59m36.59s,0.6147,91.9381,Metric Spacetime Anomaly,161.99,MATCH: UCAC2   1072122 (*),,
20h30m09.50s -72d59m40.68s,0.226,57.9517,Gasious Substrate Schema,165.26,MATCH: UCAC2   1072122 (*),,
20h30m06.66s -72d59m59.57s,0.2379,914.0013,Localized Torsional Inflection,143.64,MATCH: UCAC2   1072122 (*),,
20h30m05.88s -73d00m07.54s,0.2257,69.554,Gasious Substrate Schema,135.06,MATCH: UCAC2   1072122 (*),,
20h29m56.36s -72d59m32.88s,0.2239,72.0324,Gasious Substrate Schema,165.63,MATCH: UCAC2   1072122 (*),,
20h29m57.96s -72d59m32.31s,0.977,97.3906,Baryonic Metric Substrate,166.01,MATCH: UCAC2   1072122 (*),,
20h29m52.32s -72d59m54.99s,0.2771,62.0997,Gasious Substrate Schema,145.6,MATCH: UCAC2   1072122 (*),,
20h29m51.92s -72d59m51.68s,0.2728,23.1721,Gasious Substrate Schema,149.17,MATCH: UCAC2   1072122 (*),,
20h30m04.92s -72d59m46.72s,0.3545,253.9108,Helical Metric Schema,154.45,MATCH: UCAC2   1072122 (*),,
20h30m02.16s -72d59m45.07s,0.3222,75.8115,Helical Metric Schema,154.24,MATCH: UCAC2   1072122 (*),,
20h29m58.96s -73d00m26.32s,0.5381,23.2965,Metric Spacetime Anomaly,112.05,MATCH: UCAC2   1072122 (*),,
20h30m00.91s -72d59m40.64s,0.2127,58.2273,Minkowskian Baseline,158.13,MATCH: UCAC2   1072122 (*),,
20h30m08.86s -72d59m52.78s,0.3182,4.2253,Solenoidal Metric Schema (Iron),152.88,MATCH: UCAC2   1072122 (*),,
20h30m05.52s -72d59m51.35s,0.4314,6.3293,Trefoil Metric Schema,150.45,MATCH: UCAC2   1072122 (*),,
20h29m57.88s -72d59m38.04s,0.2157,117.0091,Minkowskian Baseline,160.28,MATCH: UCAC2   1072122 (*),,
20h29m51.31s -72d59m43.09s,0.1954,30.5148,Minkowskian Baseline,151.62,MATCH: UCAC4 086-062714 (*),,
20h30m04.12s -73d00m31.51s,0.1832,3.8423,Minkowskian Baseline,109.94,MATCH: UCAC2   1072122 (*),,
20h29m58.53s -73d00m17.27s,0.5289,20.2756,Metric Spacetime Anomaly,121.06,MATCH: UCAC2   1072122 (*),,
20h29m55.22s -73d00m22.91s,0.2793,218.7923,Gasious Substrate Schema,116.13,MATCH: UCAC2   1072122 (*),,
20h29m55.15s -73d00m01.00s,0.6861,355.9417,Localized Torsional Inflection,137.95,MATCH: UCAC2   1072122 (*),,
20h30m02.72s -72d59m58.46s,0.5178,20.2814,Metric Spacetime Anomaly,141.27,MATCH: UCAC2   1072122 (*),,
20h30m00.39s -73d00m20.44s,0.3353,81.6128,Helical Metric Schema,118.28,MATCH: UCAC2   1072122 (*),,
20h29m59.52s -73d00m07.48s,0.83,52.6485,Baryonic Metric Substrate,130.97,MATCH: UCAC2   1072122 (*),,
20h29m59.02s -72d59m49.61s,0.1691,29.0732,Minkowskian Baseline,148.75,MATCH: UCAC2   1072122 (*),,
20h29m58.99s -72d59m18.55s,0.3384,18.3003,Helical Metric Schema,174.84,MATCH: WISE J202923.74-725756.9 (G),,
20h30m00.86s -73d00m16.80s,0.1976,115.6467,Minkowskian Baseline,122.08,MATCH: UCAC2   1072122 (*),,
20h30m06.26s -73d00m17.06s,0.3749,42.7216,Trefoil Metric Schema,126.32,MATCH: UCAC2   1072122 (*),,
20h29m53.34s -73d00m01.27s,0.3259,0.6214,Helical Metric Schema,138.67,MATCH: UCAC2   1072122 (*),,
20h30m02.96s -72d59m45.78s,0.1929,17.5777,Minkowskian Baseline,153.97,MATCH: UCAC2   1072122 (*),,
20h29m50.14s -72d59m51.80s,0.2622,28.146,Gasious Substrate Schema,148.61,MATCH: UCAC4 086-062714 (*),,
20h30m00.72s -72d59m09.52s,0.2004,61.1688,Minkowskian Baseline,177.75,MATCH: WISE J202923.74-725756.9 (G),,
20h30m04.75s -73d00m27.41s,0.2826,100.5348,Solenoidal Metric Schema (Iron),114.59,MATCH: UCAC2   1072122 (*),,
20h30m10.73s -72d59m59.49s,0.3213,21.9806,Helical Metric Schema,149.33,MATCH: UCAC2   1072122 (*),,
20h30m07.55s -73d00m16.38s,0.5814,72.2149,Metric Spacetime Anomaly,128.67,MATCH: UCAC2   1072122 (*),,
20h29m54.75s -73d00m17.14s,0.2616,15.2561,Gasious Substrate Schema,122.1,MATCH: UCAC2   1072122 (*),,
20h29m56.75s -72d59m34.36s,0.398,226.2381,Localized Torsional Inflection,164.07,MATCH: UCAC2   1072122 (*),,
20h30m02.91s -72d59m22.87s,0.4145,151.2819,Trefoil Metric Schema,176.67,MATCH: UCAC2   1072122 (*),,
20h29m58.48s -72d59m52.47s,0.4783,8.0955,Metric Spacetime Anomaly,145.85,MATCH: UCAC2   1072122 (*),,
20h30m02.21s -73d00m20.36s,0.4266,249.7391,Trefoil Metric Schema,119.27,MATCH: UCAC2   1072122 (*),,
20h29m56.08s -72d59m36.39s,0.4117,36.856,Trefoil Metric Schema,162.19,MATCH: UCAC2   1072122 (*),,
20h29m48.57s -72d59m56.44s,0.2244,39.2928,Gasious Substrate Schema,143.29,MATCH: UCAC4 086-062714 (*),,
20h30m04.99s -73d00m00.57s,0.7062,2.1473,Metric Spacetime Anomaly,140.95,MATCH: UCAC2   1072122 (*),,
20h29m59.78s -73d00m09.57s,0.2545,138.3558,Gasious Substrate Schema,128.94,MATCH: UCAC2   1072122 (*),,
20h29m58.17s -72d59m26.37s,0.4793,156.4586,Metric Spacetime Anomaly,171.95,MATCH: UCAC2   1072122 (*),,
20h30m04.86s -73d00m10.74s,0.7873,43.6173,Metric Spacetime Anomaly,130.9,MATCH: UCAC2   1072122 (*),,
20h30m01.51s -72d59m35.42s,0.186,587.3698,Minkowskian Baseline,163.55,MATCH: UCAC2   1072122 (*),,
20h29m56.55s -73d00m48.27s,0.316,93.4712,Localized Torsional Inflection,90.33,MATCH: UCAC2   1072122 (*),,
20h29m58.05s -72d59m23.48s,0.2391,39.6182,Gasious Substrate Schema,173.59,MATCH: WISE J202923.74-725756.9 (G),,
20h30m10.70s -72d59m57.78s,0.8011,49.7857,Baryonic Metric Substrate,150.87,MATCH: UCAC2   1072122 (*),,
20h30m03.03s -72d59m50.83s,0.2327,0.1901,Gasious Substrate Schema,149.01,MATCH: UCAC2   1072122 (*),,
20h29m55.24s -73d00m16.64s,0.2438,12.2214,Gasious Substrate Schema,122.35,MATCH: UCAC2   1072122 (*),,
20h30m07.84s -73d00m05.06s,0.2244,22.0797,Gasious Substrate Schema,139.82,MATCH: UCAC2   1072122 (*),,
20h29m59.84s -72d59m40.19s,0.3659,19.1027,Trefoil Metric Schema,158.29,MATCH: UCAC2   1072122 (*),,
20h30m05.03s -72d59m43.36s,0.3386,427.6651,Helical Metric Schema,157.84,MATCH: UCAC2   1072122 (*),,
20h30m03.39s -73d00m26.37s,0.1797,302.7342,Minkowskian Baseline,114.25,MATCH: UCAC2   1072122 (*),,
20h30m06.69s -72d59m54.19s,0.2157,61.089,Minkowskian Baseline,148.88,MATCH: UCAC2   1072122 (*),,
20h30m09.77s -72d59m54.65s,0.3026,184.5644,Solenoidal Metric Schema (Iron),152.39,MATCH: UCAC2   1072122 (*),,
20h30m00.56s -73d00m06.52s,0.364,4.4426,Trefoil Metric Schema,132.21,MATCH: UCAC2   1072122 (*),,
20h30m10.28s -72d59m55.55s,0.3078,129.3295,Solenoidal Metric Schema (Iron),152.3,MATCH: UCAC2   1072122 (*),,
20h29m54.79s -72d59m49.13s,0.308,7.9914,Solenoidal Metric Schema (Iron),149.92,MATCH: UCAC2   1072122 (*),,
20h29m54.09s -72d59m39.93s,0.8796,75.3721,Baryonic Metric Substrate,159.39,MATCH: UCAC2   1072122 (*),,
20h30m07.51s -72d59m27.97s,2.0673,21.6846,Metric Spacetime Anomaly,175.19,MATCH: UCAC2   1072122 (*),,
20h30m00.63s -72d59m24.18s,0.2311,55.2826,Gasious Substrate Schema,174.47,MATCH: UCAC2   1072122 (*),,
20h29m57.54s -72d59m41.78s,0.2343,342.1819,Localized Torsional Inflection,156.56,MATCH: UCAC2   1072122 (*),,
20h29m56.59s -73d00m00.56s,0.4044,55.7087,Trefoil Metric Schema,137.93,MATCH: UCAC2   1072122 (*),,
20h29m55.01s -72d59m39.40s,1.0656,47.5336,Baryonic Metric Substrate,159.52,MATCH: UCAC2   1072122 (*),,
20h29m56.05s -72d59m54.15s,0.2303,37.6143,Gasious Substrate Schema,144.47,MATCH: UCAC2   1072122 (*),,
20h29m50.54s -72d59m52.09s,1.2654,59.2323,Metric Spacetime Anomaly,150,MATCH: UCAC2   1072122 (*),,
20h30m02.31s -72d59m52.01s,0.1947,406.4302,Minkowskian Baseline,147.42,MATCH: UCAC2   1072122 (*),,
20h29m57.33s -73d00m37.14s,0.3597,44.3067,Helical Metric Schema,101.24,MATCH: UCAC2   1072122 (*),,
20h29m52.32s -73d00m31.66s,0.3759,9.25,Trefoil Metric Schema,109.69,MATCH: UCAC2   1072122 (*),,
20h30m01.53s -72d59m45.41s,0.4788,50.2649,Metric Spacetime Anomaly,153.61,MATCH: UCAC2   1072122 (*),,
20h29m53.64s -72d59m48.74s,0.3431,254.5647,Helical Metric Schema,150.89,MATCH: UCAC2   1072122 (*),,
20h29m58.54s -73d00m15.67s,0.3309,69.4327,Helical Metric Schema,122.66,MATCH: UCAC2   1072122 (*),,
20h29m58.01s -73d00m41.17s,0.2557,16.174,Gasious Substrate Schema,97.15,MATCH: UCAC2   1072122 (*),,
20h30m05.34s -72d59m46.08s,0.2687,106.7462,Gasious Substrate Schema,155.44,MATCH: UCAC2   1072122 (*),,
20h30m01.30s -72d59m46.37s,0.3783,300.9613,Trefoil Metric Schema,152.56,MATCH: UCAC2   1072122 (*),,
20h29m58.13s -72d59m21.16s,0.2656,4.58,Gasious Substrate Schema,172.76,MATCH: WISE J202923.74-725756.9 (G),,
20h30m01.45s -72d59m56.80s,0.4218,71.2207,Trefoil Metric Schema,142.24,MATCH: UCAC2   1072122 (*),,
20h29m53.07s -72d59m44.72s,1.2578,92.6328,Metric Spacetime Anomaly,155.21,MATCH: UCAC2   1072122 (*),,
20h29m55.74s -72d59m38.99s,0.2311,7.9175,Gasious Substrate Schema,159.68,MATCH: UCAC2   1072122 (*),,
20h30m06.19s -73d00m14.96s,0.1992,104.8214,Minkowskian Baseline,128.26,MATCH: UCAC2   1072122 (*),,
20h29m56.47s -73d00m17.28s,0.3722,52.4909,Trefoil Metric Schema,121.27,MATCH: UCAC2   1072122 (*),,
20h30m00.16s -73d00m39.29s,0.2974,49.4525,Solenoidal Metric Schema (Iron),99.41,MATCH: UCAC2   1072122 (*),,
20h29m58.64s -73d00m17.90s,0.2025,109.2132,Minkowskian Baseline,120.43,MATCH: UCAC2   1072122 (*),,
20h30m09.38s -73d00m27.31s,0.2969,196.4865,Localized Torsional Inflection,121.37,MATCH: UCAC2   1072122 (*),,
20h30m05.66s -72d59m34.65s,0.2839,22.023,Solenoidal Metric Schema (Iron),166.92,MATCH: UCAC2   1072122 (*),,
20h29m53.17s -73d00m25.65s,0.2975,25.8328,Solenoidal Metric Schema (Iron),114.78,MATCH: UCAC2   1072122 (*),,
20h30m01.19s -72d59m43.64s,0.2022,86.4673,Minkowskian Baseline,155.24,MATCH: UCAC2   1072122 (*),,
20h30m00.16s -73d00m16.10s,0.4317,40.9546,Trefoil Metric Schema,122.53,MATCH: UCAC2   1072122 (*),,
20h30m02.60s -72d59m16.47s,0.2328,368.9346,Gasious Substrate Schema,182.88,MATCH: UCAC2   1072122 (*),,
20h30m06.90s -73d00m12.62s,1.0399,19.3532,Baryonic Metric Substrate,131.38,MATCH: UCAC2   1072122 (*),,
20h29m53.93s -73d00m25.79s,0.1755,94.5612,Minkowskian Baseline,114.05,MATCH: UCAC2   1072122 (*),,
20h29m52.33s -72d59m56.56s,0.4764,353.5324,Metric Spacetime Anomaly,144.05,MATCH: UCAC2   1072122 (*),,
20h29m56.61s -73d00m06.30s,0.4173,29.6057,Trefoil Metric Schema,132.19,MATCH: UCAC2   1072122 (*),,
20h29m50.23s -73d00m16.89s,0.2211,30.8226,Gasious Substrate Schema,126.31,MATCH: UCAC2   1072122 (*),,
20h30m06.80s -73d00m31.20s,0.3321,4.2756,Helical Metric Schema,113.59,MATCH: UCAC2   1072122 (*),,
20h30m08.20s -72d59m48.01s,0.2125,78.8198,Minkowskian Baseline,156.59,MATCH: UCAC2   1072122 (*),,
20h30m07.14s -72d59m40.11s,0.3461,77.5696,Helical Metric Schema,163.01,MATCH: UCAC2   1072122 (*),,
20h29m56.41s -73d00m22.80s,1.1105,41.9432,Baryonic Metric Substrate,115.77,MATCH: UCAC2   1072122 (*),,
20h30m01.69s -72d59m35.37s,0.2863,7.0497,Solenoidal Metric Schema (Iron),163.67,MATCH: UCAC2   1072122 (*),,
20h29m59.71s -73d00m30.97s,0.2365,16.6708,Gasious Substrate Schema,107.56,MATCH: UCAC2   1072122 (*),,
20h30m02.60s -73d00m44.65s,0.2043,308.5292,Minkowskian Baseline,95.65,MATCH: UCAC2   1072122 (*),,
20h29m54.12s -73d00m16.32s,0.6986,48.0844,Metric Spacetime Anomaly,123.28,MATCH: UCAC2   1072122 (*),,
20h29m57.49s -73d00m39.74s,0.4683,82.7527,Metric Spacetime Anomaly,98.62,MATCH: UCAC2   1072122 (*),,
20h30m07.31s -72d59m39.91s,0.3005,207.2974,Solenoidal Metric Schema (Iron),163.39,MATCH: UCAC2   1072122 (*),,
20h30m08.40s -72d59m54.28s,0.9129,68.9767,Baryonic Metric Substrate,150.84,MATCH: UCAC2   1072122 (*),,
20h29m55.93s -73d00m05.82s,0.2602,298.866,Gasious Substrate Schema,132.86,MATCH: UCAC2   1072122 (*),,
