SECTOR A,,,,,,ANALYSIS,,,,,,,,,
TA1,,,,,,,,,,,,,,,
--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---,,,,,,Cumulative,,,,,,,,,
--- IMAGE REDIRECT ACTIVE ---,,,,,,Closest OFFSET,0.02,,,,,,,,
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,Average OFFSET,53.3187509,,,,,,,,
"Target: RA 17.761, DEC -29.008",,,,,,Max OFFSET,294.59,,,,,,,,
Depth: 26000 XYZ,Radius: 10,,,,,Number of Close Matches(OFFSET < 1 arcsecond),846,,,,,,,,
Scanning Volume... Sampling 418 points.,,,,,,No SIMBAD Match,422,,,,,,,,
Structure Detected: 418 metric nodes.,,,,,,Accuracy Rate,97.74%,Standard Distribution ,2.770341059,Coefficient of Variation,70.43836306,, ,,
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,,,,,,,,,,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,Structure Type,Count,Average offset by Structure Type,Coefficient of Variation by type,Standard Distribution by type,,Lens Candiate,Tag,Predictied Identity,KEY
16h59m57.97s -25d00m12.36s,0.2068,70.0104,Minkowskian Baseline,87.57,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m57.36s -25d00m12.56s,0.1994,9.0017,Minkowskian Baseline,95.05,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m01.97s -24d59m36.05s,0.1939,499.169,Minkowskian Baseline,77.95,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m00.73s -25d00m31.96s,0.1973,15.2453,Minkowskian Baseline,45.3,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m02.06s -25d00m17.25s,0.1908,61.8323,Minkowskian Baseline,40.28,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m00.47s -25d00m08.39s,0.4205,408.6531,Trefoil Metric Schema,61.35,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m01.14s -24d59m44.95s,0.3545,23.5938,Helical Metric Schema,74.32,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
17h00m01.86s -24d59m39.66s,0.527,233.9607,Localized Torsional Inflection,75.04,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
17h00m01.01s -24d59m44.48s,0.2689,230.8791,Gasious Substrate Schema,75.6,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m00.21s -25d00m05.93s,0.2532,113.4094,Gasious Substrate Schema,65.62,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m00.98s -24d59m50.74s,1.0366,22.6709,Baryonic Metric Substrate,70.47,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Baryonic Metric Substrate,
17h00m01.48s -24d59m25.17s,0.1922,566.9057,Minkowskian Baseline,88.17,MATCH: Gaia DR3 4113075744548539392 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m58.24s -25d00m14.00s,0.1865,130.2633,Minkowskian Baseline,83.55,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m00.90s -25d00m22.41s,0.5087,207.3791,Localized Torsional Inflection,47.97,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
17h00m03.05s -25d00m00.81s,0.2517,37.2728,Gasious Substrate Schema,50.18,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m01.91s -25d00m08.64s,0.296,168.3187,Solenoidal Metric Schema (Iron),48.58,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
17h00m00.23s -25d00m14.06s,0.2642,82.9999,Gasious Substrate Schema,60.24,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m00.61s -24d59m32.18s,0.2595,66.4314,Gasious Substrate Schema,88.99,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.68s -24d59m57.47s,0.3172,59.9757,Solenoidal Metric Schema (Iron),76.65,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
17h00m00.53s -25d00m11.70s,0.4566,5.836,Metric Spacetime Anomaly,58.53,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h00m00.25s -24d59m55.50s,0.19,264.6519,Minkowskian Baseline,72.67,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m59.60s -24d59m42.00s,0.3607,91.0812,Trefoil Metric Schema,88.67,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m00.91s -25d00m30.38s,0.1766,731.3141,Minkowskian Baseline,43.75,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m01.55s -24d59m45.45s,1.7772,96.7855,Spacetime Curvature Limit (Black Hole),71.34,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Spacetime Curvature Limit (Black Hole),
17h00m00.21s -25d00m16.78s,0.1938,617.4448,Minkowskian Baseline,58.88,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m59.66s -25d00m04.07s,0.2321,164.3514,Gasious Substrate Schema,72.5,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m01.73s -24d59m43.42s,0.2601,21.6145,Gasious Substrate Schema,72.2,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.79s -25d00m12.14s,0.4478,33.3981,Trefoil Metric Schema,66.22,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m01.39s -24d59m43.73s,0.2615,89.5661,Gasious Substrate Schema,73.83,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m58.12s -25d00m04.09s,0.2102,283.5464,Minkowskian Baseline,89.67,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m59.51s -24d59m54.01s,1.1578,8.6849,Baryonic Metric Substrate,80.71,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Baryonic Metric Substrate,
16h59m58.71s -24d59m53.44s,1.3969,14.3253,Metric Spacetime Anomaly,89.22,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
16h59m58.48s -24d59m49.25s,0.4033,216.7615,Localized Torsional Inflection,93.04,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
16h59m58.58s -24d59m57.53s,0.2262,38.3524,Gasious Substrate Schema,88.1,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m00.59s -24d59m43.97s,0.2555,4.3504,Gasious Substrate Schema,79.04,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m02.30s -25d00m20.18s,0.232,467.316,Localized Torsional Inflection,36.01,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
17h00m02.69s -25d00m04.76s,0.2082,148.9153,Minkowskian Baseline,47.62,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m00.91s -24d59m54.47s,0.2237,1.6961,Gasious Substrate Schema,67.91,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m01.63s -25d00m01.46s,0.2915,196.54,Solenoidal Metric Schema (Iron),56.69,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
16h59m58.62s -24d59m41.56s,0.4665,219.6921,Metric Spacetime Anomaly,86.78,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h00m00.73s -25d00m31.25s,0.4005,84.2396,Trefoil Metric Schema,45.59,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m59.60s -25d00m08.96s,0.3132,127.1488,Solenoidal Metric Schema (Iron),70.16,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
16h59m59.21s -24d59m35.11s,0.3648,28.1547,Trefoil Metric Schema,85,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m02.16s -24d59m54.99s,0.3593,30.2911,Helical Metric Schema,59.27,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
17h00m00.68s -24d59m33.26s,0.2257,67.6603,Gasious Substrate Schema,87.58,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m01.29s -25d00m32.57s,0.3676,39.2008,Trefoil Metric Schema,38.15,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m59.08s -25d00m16.86s,0.2841,100.9746,Solenoidal Metric Schema (Iron),72.05,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
17h00m02.96s -25d00m07.82s,0.2976,47.2505,Solenoidal Metric Schema (Iron),43.63,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
17h00m00.94s -24d59m52.71s,0.4083,51.1357,Trefoil Metric Schema,69.12,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m58.43s -25d00m15.67s,0.2654,42.8574,Gasious Substrate Schema,80.5,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m58.35s -24d59m58.42s,2.1838,444.7747,Spacetime Curvature Limit (Black Hole),90.12,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Spacetime Curvature Limit (Black Hole),
16h59m58.58s -24d59m54.56s,2.0731,39.1401,Metric Spacetime Anomaly,89.9,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h00m01.74s -25d00m08.96s,0.8121,4.1639,Baryonic Metric Substrate,49.57,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Baryonic Metric Substrate,
17h00m01.49s -25d00m23.53s,0.6019,133.6318,Metric Spacetime Anomaly,40.93,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h00m01.47s -24d59m59.74s,0.8498,17.5338,Baryonic Metric Substrate,59.3,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Baryonic Metric Substrate,
16h59m57.55s -25d00m12.51s,0.2116,14.7554,Minkowskian Baseline,92.7,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m58.46s -25d00m04.37s,0.193,118.4434,Minkowskian Baseline,85.59,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m02.28s -25d00m16.95s,0.7349,689.753,Localized Torsional Inflection,38.87,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
16h59m59.19s -25d00m18.96s,0.366,11.1338,Trefoil Metric Schema,69.77,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m58.58s -25d00m02.27s,0.2621,23.4545,Gasious Substrate Schema,85.37,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m00.67s -24d59m51.77s,0.6316,381.3199,Localized Torsional Inflection,72,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
17h00m00.42s -25d00m04.20s,0.8146,62.0848,Localized Torsional Inflection,64.74,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
17h00m00.59s -25d00m12.57s,0.1929,112.9891,Minkowskian Baseline,57.35,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m59.77s -25d00m15.07s,0.2036,32.7792,Minkowskian Baseline,64.82,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
17h00m00.26s -25d00m03.74s,0.3652,22.2896,Trefoil Metric Schema,66.61,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m59.43s -24d59m59.89s,0.21,113.7307,Minkowskian Baseline,77.57,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m58.95s -25d00m09.90s,0.2677,114.5244,Gasious Substrate Schema,77.01,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m00.00s -24d59m42.14s,0.2215,25.0296,Gasious Substrate Schema,85.17,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m58.94s -24d59m51.63s,0.517,5.7574,Metric Spacetime Anomaly,88.02,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
16h59m58.57s -24d59m30.95s,0.4203,160.6997,Trefoil Metric Schema,77.01,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m58.97s -24d59m31.34s,0.2369,508.2555,Localized Torsional Inflection,80.07,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
17h00m01.92s -25d00m13.08s,0.2429,36.4754,Gasious Substrate Schema,44.79,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.67s -24d59m28.81s,0.3404,113.4441,Helical Metric Schema,83.45,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
16h59m58.01s -25d00m19.30s,0.4754,55.835,Localized Torsional Inflection,84.32,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
16h59m58.95s -24d59m42.05s,1.3362,669.2335,Localized Torsional Inflection,89.23,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
16h59m59.70s -24d59m53.22s,0.2389,2.852,Gasious Substrate Schema,79.43,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m01.19s -24d59m53.13s,0.3022,188.5928,Solenoidal Metric Schema (Iron),66.92,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
16h59m59.60s -24d59m35.01s,0.3728,196.8194,Trefoil Metric Schema,87.86,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m59.51s -24d59m57.59s,0.2468,176.6488,Gasious Substrate Schema,78.27,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m57.59s -25d00m12.80s,0.2517,58.6121,Gasious Substrate Schema,92.09,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m01.56s -24d59m39.36s,0.3267,6.4783,Helical Metric Schema,76.84,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
17h00m00.25s -24d59m43.88s,0.71,162.9719,Metric Spacetime Anomaly,81.74,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h00m00.09s -24d59m25.06s,0.4242,54.4367,Trefoil Metric Schema,84.31,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m01.69s -25d00m31.32s,0.3853,210.0678,Localized Torsional Inflection,34.07,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
17h00m00.93s -24d59m21.29s,0.3575,172.6257,Helical Metric Schema,85.65,MATCH: Gaia DR3 4113075744548539392 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
17h00m01.37s -25d00m04.29s,0.2248,42.4512,Gasious Substrate Schema,56.28,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m01.48s -24d59m58.73s,0.5148,100.688,Metric Spacetime Anomaly,60.09,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
16h59m59.42s -24d59m48.10s,0.3531,79.4769,Helical Metric Schema,85.76,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
17h00m00.82s -24d59m40.18s,0.2875,139.5614,Solenoidal Metric Schema (Iron),80.62,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
16h59m57.99s -25d00m05.74s,0.4366,27.3098,Trefoil Metric Schema,90.38,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m59.51s -25d00m31.49s,0.2626,282.6619,Localized Torsional Inflection,61.01,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
17h00m00.44s -24d59m40.08s,0.3053,3.3257,Solenoidal Metric Schema (Iron),83.41,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
17h00m01.93s -25d00m19.95s,0.2024,63.2856,Minkowskian Baseline,39.23,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m59.99s -25d00m04.90s,0.383,14.6916,Trefoil Metric Schema,68.53,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m02.00s -25d00m17.01s,0.1881,78.1693,Minkowskian Baseline,40.96,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m59.56s -24d59m44.93s,0.2977,150.4086,Solenoidal Metric Schema (Iron),86.8,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
17h00m00.81s -25d00m32.20s,0.47,155.5126,Metric Spacetime Anomaly,44.21,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
16h59m59.64s -24d59m51.78s,0.2239,13.1124,Gasious Substrate Schema,81.03,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m58.83s -25d00m14.72s,0.2447,26.6624,Gasious Substrate Schema,76.06,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m02.53s -24d59m39.87s,0.4449,62.8781,Trefoil Metric Schema,72.16,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m00.24s -24d59m39.09s,0.2793,25.2331,Gasious Substrate Schema,85.74,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.84s -24d59m43.04s,0.4221,25.8905,Trefoil Metric Schema,85.79,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m58.09s -24d59m53.25s,0.1904,87.9377,Minkowskian Baseline,94.94,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m59.26s -25d00m05.29s,0.7851,189.6316,Metric Spacetime Anomaly,76.06,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
16h59m59.91s -24d59m41.07s,0.301,74.7566,Solenoidal Metric Schema (Iron),86.76,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
17h00m02.17s -25d00m10.53s,0.3348,20.4863,Helical Metric Schema,45.16,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
17h00m02.10s -25d00m30.86s,0.2654,9.5913,Gasious Substrate Schema,29.86,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m02.72s -25d00m19.28s,0.2732,24.6668,Gasious Substrate Schema,33.96,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m58.70s -25d00m23.63s,0.5276,96.0647,Metric Spacetime Anomaly,74.01,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
17h00m00.93s -24d59m57.31s,0.4257,45.1213,Trefoil Metric Schema,65.44,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m59.72s -25d00m37.21s,0.2054,82.1375,Minkowskian Baseline,56.75,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m59.94s -25d00m05.23s,0.2725,219.4846,Gasious Substrate Schema,68.83,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.61s -25d00m36.19s,0.2272,3.1189,Gasious Substrate Schema,58.44,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.27s -24d59m44.82s,0.2333,31.2754,Gasious Substrate Schema,89.54,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.92s -24d59m55.25s,0.2602,2.8784,Gasious Substrate Schema,75.89,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m01.36s -24d59m26.14s,0.1866,14.3815,Minkowskian Baseline,89.36,MATCH: Gaia DR3 4113075744548539392 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m60.00s -25d00m02.23s,0.238,72.3914,Gasious Substrate Schema,70.22,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m58.13s -24d59m45.17s,0.4873,52.361,Metric Spacetime Anomaly,87.5,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
16h59m59.94s -24d59m54.20s,0.7698,92.5632,Localized Torsional Inflection,76.46,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
16h59m58.94s -24d59m52.51s,0.3355,63.0337,Helical Metric Schema,87.44,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
16h59m58.39s -25d00m05.77s,0.2432,10.3629,Gasious Substrate Schema,85.66,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
17h00m01.00s -24d59m46.60s,0.1706,87.7442,Minkowskian Baseline,73.84,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m58.94s -25d00m07.66s,0.3457,47.2852,Helical Metric Schema,78.31,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
17h00m01.89s -24d59m39.37s,0.2,206.6843,Minkowskian Baseline,75.17,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
16h59m59.59s -25d00m21.91s,0.3916,92.4348,Trefoil Metric Schema,63.59,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m59.32s -25d00m17.10s,0.3275,51.3492,Helical Metric Schema,69.06,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
16h59m58.24s -25d00m25.23s,0.3839,55.159,Trefoil Metric Schema,79.37,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
16h59m59.76s -24d59m37.30s,0.2687,189.7565,Gasious Substrate Schema,90.98,MATCH: Gaia DR3 4113075534099794176 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.48s -25d00m07.46s,0.2424,25.201,Gasious Substrate Schema,72.36,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
16h59m59.65s -25d00m34.69s,0.4248,116.7361,Localized Torsional Inflection,58.28,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
16h59m57.66s -24d59m58.99s,0.382,0.6221,Trefoil Metric Schema,97.66,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
17h00m00.20s -25d00m05.77s,0.3262,444.4365,Localized Torsional Inflection,65.82,MATCH: Gaia DR3 4113072239855019648 (EB*),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
