SECTOR A,,,,,,ANALYSIS,,,,,,,,,
TA1,,,,,,,,,,,,,,,
--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---,,,,,,Cumulative,,,,,,,,,
--- IMAGE REDIRECT ACTIVE ---,,,,,,Closest OFFSET,0.02,,,,,,,,
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,Average OFFSET,53.3187509,,,,,,,,
"Target: RA 17.761, DEC -29.008",,,,,,Max OFFSET,294.59,,,,,,,,
Depth: 26000 XYZ,Radius: 10,,,,,Number of Close Matches(OFFSET < 1 arcsecond),846,,,,,,,,
Scanning Volume... Sampling 418 points.,,,,,,No SIMBAD Match,422,,,,,,,,
Structure Detected: 418 metric nodes.,,,,,,Accuracy Rate,97.74%,Standard Distribution ,2.770341059,Coefficient of Variation,70.43836306,, ,,
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,,,,,,,,,,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,Structure Type,Count,Average offset by Structure Type,Coefficient of Variation by type,Standard Distribution by type,,Lens Candiate,Tag,Predictied Identity,KEY
17h45m42.81s -28d59m42.05s,0.2377,244.4543,Gasious Substrate Schema,0.88,MATCH: [BSD96] 129 (*),,,,,,,⚠ LENS CANDIDATE,VARIABLE STAR,Gasious Substrate Schema,
17h45m44.38s -29d01m18.29s,0.2036,12.6986,Minkowskian Baseline,1.4,MATCH: OH 359.939-00.067 (Mas),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
17h45m42.66s -29d00m09.54s,1.8345,12.4656,Metric Spacetime Anomaly,0.73,MATCH: [RRT2017] GC 11473 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
17h45m39.04s -29d01m45.22s,0.1847,141.8962,Minkowskian Baseline,1.33,MATCH: NAME IGR J17456-2901b (gam),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
17h45m44.63s -29d00m10.01s,0.4235,137.6784,Trefoil Metric Schema,2.37,MATCH: [BSD96] 214 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
17h45m37.58s -29d00m38.88s,0.2286,205.8985,Gasious Substrate Schema,0.82,MATCH: [BSD96] 153 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m36.18s -29d01m08.10s,0.3645,58.3865,Trefoil Metric Schema,0.2,MATCH: CXOGC J174536.1-290107 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m43.27s -29d01m08.68s,1.0754,343.4343,Localized Torsional Inflection,2.94,MATCH: [BSD96] 204 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
17h45m41.36s -28d59m19.15s,0.1873,142.9538,Minkowskian Baseline,2.11,MATCH: [NS2013] 59 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
17h45m39.22s -29d00m09.97s,0.2357,123.1231,Gasious Substrate Schema,0.07,MATCH: [FNS2015] 12592 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
