SECTION E,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,203041137,18h28m00.5s +59d27m04s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,665207358,11h14m44.0s -11d40m40s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,124849,11h17m46.0s +10d28m45s,0.75,0.9999,0.164,Ghost,Radio / CMB,DARK MATTER,,,466054,22h42m52.2s -13d44m38s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,193779,20h23m41.2s +13d17m16s,1.2,0.9999,0.265,Forming,K-Band (IR),PROTO-MATTER,,,464599,17h26m40.8s +18d08m50s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,440903,07h01m56.8s -24d32m59s,3.05,0.9999,0.672,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,390702,02h53m51.8s +05d20m18s,0.9,0.9999,0.198,Forming,K-Band (IR),PROTO-MATTER,,,569515,22h58m17.9s -17d52m24s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,656271,11h17m29.1s -03d10m25s,1.09,0.9999,0.24,Forming,K-Band (IR),PROTO-MATTER,
,209730100,01h23m25.5s +33d01m50s,3.91,0.9999,0.86,Fuel,UV / Lyman,HYDROGEN,,,,671896321,02h54m20.2s -26d03m49s,4.31,0.9999,0.949,Fuel,UV / Lyman,HYDROGEN,,,125351,10h44m53.1s +31d16m17s,1.85,0.9999,0.407,High-Tension,B/V (Violet),CALCIUM,,,467726,04h40m58.8s -26d30m10s,1.43,0.7794,0.516,Collapse,X-Ray / Gamma,SINGULARITY,,,195786,19h02m03.2s +20d35m14s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,465936,01h54m03.6s +17d37m03s,1.12,0.9999,0.246,Forming,K-Band (IR),PROTO-MATTER,,,452943,07h17m51.9s -13d48m27s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,391873,22h12m08.9s +04d06m43s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,574532,18h37m32.3s -08d12m31s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,658278,13h28m39.7s -23d33m35s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,218091304,23h14m33.9s +44d10m14s,0.76,0.9999,0.168,Ghost,Radio / CMB,DARK MATTER,,,,681929766,21h11m51.3s -31d05m14s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,126856,08h52m01.6s +24d00m56s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,471070,23h33m50.1s -18d07m39s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,198462,23h09m27.7s +24d41m37s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,467274,17h51m12.6s +17d37m52s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,455953,13h19m00.0s -32d51m55s,1.6,0.9999,0.352,Stable,V-Band (Green),MAGNESIUM,,,398896,09h40m14.5s +24d33m12s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,582893,02h52m36.5s -23d56m60s,5.44,0.9999,1.197,Fuel,UV / Lyman,HYDROGEN,,,672324,19h11m03.2s -16d14m28s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,219763545,21h03m52.8s +36d13m08s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,685274247,12h00m24.8s -22d42m13s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,127860,07h45m11.3s +31d11m16s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,476087,09h02m12.5s -26d46m47s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,200468,22h26m26.3s +03d26m08s,6.84,0.9999,1.505,Fuel,UV / Lyman,HYDROGEN,,,475301,06h33m26.0s +27d43m25s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,461973,16h29m09.8s -13d04m34s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,401237,02h40m12.7s +12d32m10s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,584565,06h33m20.0s -03d22m52s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,674331,21h25m30.7s -05d28m15s,0.9,0.7659,0.338,Collapse,X-Ray / Gamma,SINGULARITY,
,221435786,19h37m39.5s +61d13m49s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,691963211,03h05m59.2s -18d19m14s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,129365,06h54m38.2s +28d14m22s,0.74,0.9999,0.163,Ghost,Radio / CMB,DARK MATTER,,,477759,04h44m27.4s -13d21m49s,0.7,0.8378,0.221,Collapse,X-Ray / Gamma,SINGULARITY,,,201137,22h53m23.1s +27d14m57s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,479314,05h37m56.1s +35d40m52s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,463478,14h47m07.9s -20d12m41s,1.36,0.8918,0.377,Collapse,X-Ray / Gamma,SINGULARITY,,,402408,08h29m22.1s +06d36m48s,1.11,0.9999,0.245,Forming,K-Band (IR),PROTO-MATTER,,,587910,22h56m33.5s -27d51m14s,0.69,0.8957,0.19,Collapse,X-Ray / Gamma,SINGULARITY,,,676338,01h29m09.9s -22d16m36s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,223944147,23h12m48.6s +31d41m50s,0.31,0.639,0.169,Collapse,X-Ray / Gamma,SINGULARITY,,,,705341137,13h27m54.3s -22d10m29s,1.27,0.9999,0.278,Forming,K-Band (IR),PROTO-MATTER,,,130368,07h08m57.7s +29d10m17s,1.88,0.9999,0.414,High-Tension,B/V (Violet),CALCIUM,,,479431,02h36m08.9s -29d31m56s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,203144,01h37m55.1s +02d23m23s,0.89,0.8267,0.285,Collapse,X-Ray / Gamma,SINGULARITY,,,486003,06h31m51.9s +43d21m13s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,464983,13h19m30.7s -31d39m55s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,405920,05h19m19.3s +09d26m54s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,589582,03h47m40.1s -11d20m32s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,680351,07h53m11.4s -24d39m53s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,226452508,13h58m43.3s +57d45m29s,1.01,0.9999,0.223,Forming,K-Band (IR),PROTO-MATTER,,,,722063545,03h23m09.9s -30d09m33s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,130870,07h32m14.9s +16d08m36s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,481104,07h49m40.7s -34d39m51s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,203813,19h43m34.1s +27d45m10s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,490017,04h48m45.1s +41d36m20s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,466488,12h51m25.6s -36d29m33s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,408261,13h44m05.0s +22d41m19s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,599615,13h26m08.3s -27d46m34s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,682358,07h37m28.2s +00d56m45s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,229796990,04h50m41.0s +55d20m48s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,,732096990,02h27m17.4s -29d07m40s,1.26,0.9804,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,133880,12h58m20.1s +08d25m10s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,484448,10h19m21.0s -20d22m17s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,206488,18h08m40.1s +26d02m59s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,491355,14h46m57.2s +39d56m42s,1.47,0.7835,0.528,Collapse,X-Ray / Gamma,SINGULARITY,,,469498,16h06m28.0s -18d20m06s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,410602,08h14m32.2s +26d20m42s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,602960,06h38m37.7s -04d55m47s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,694398,13h43m04.7s -19d51m36s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,230633110,07h55m20.1s +61d24m17s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,735441472,22h58m59.2s -27d34m44s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,135385,16h29m38.8s +20d34m40s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,487793,08h57m27.3s -23d40m51s,0.65,0.9999,0.143,Ghost,Radio / CMB,DARK MATTER,,,207157,23h37m25.8s +04d55m33s,1.98,0.9999,0.436,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,492692,07h36m47.9s +37d50m28s,1.27,0.9999,0.279,Forming,K-Band (IR),PROTO-MATTER,,,471003,19h15m23.1s -12d37m07s,0.93,0.9999,0.206,Forming,K-Band (IR),PROTO-MATTER,,,411773,15h06m23.4s +22d12m09s,0.42,0.4893,0.382,Collapse,X-Ray / Gamma,SINGULARITY,,,604632,13h10m53.6s -26d27m12s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,696405,16h02m49.3s -02d23m56s,1.15,0.9999,0.254,Forming,K-Band (IR),PROTO-MATTER,
,232305351,06h37m23.2s +32d53m22s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,738785953,16h52m47.4s -08d43m06s,0.84,0.8503,0.255,Collapse,X-Ray / Gamma,SINGULARITY,,,136890,19h20m01.1s +31d19m60s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,489465,15h25m36.6s -13d47m47s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,210502,01h28m06.4s +19d57m43s,0.73,0.8987,0.2,Collapse,X-Ray / Gamma,SINGULARITY,,,494030,12h32m35.0s +35d22m59s,2.08,0.8906,0.576,Collapse,X-Ray / Gamma,SINGULARITY,,,472508,22h26m34.7s -18d23m26s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,414114,09h40m20.6s +08d38m07s,0.85,0.8828,0.24,Collapse,X-Ray / Gamma,SINGULARITY,,,607977,13h49m55.6s +00d52m42s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,706438,13h19m24.6s -20d04m22s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,234813712,09h40m38.5s +61d28m53s,2.05,0.9999,0.451,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,742130435,06h39m17.0s -13d13m06s,1.46,0.8449,0.45,Collapse,X-Ray / Gamma,SINGULARITY,,,137391,19h59m28.2s +12d57m34s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,491137,15h42m19.4s -32d25m54s,0.58,0.7322,0.237,Collapse,X-Ray / Gamma,SINGULARITY,,,213177,22h19m29.3s +14d30m25s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,496706,09h13m57.0s +29d50m09s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,475518,01h53m28.0s -36d48m10s,1.16,0.8666,0.34,Collapse,X-Ray / Gamma,SINGULARITY,,,415284,11h23m57.4s +03d58m59s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,611321,13h57m46.0s -26d46m13s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,708445,17h35m16.7s -08d31m48s,1.26,0.9849,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,237322074,01h01m11.1s +29d50m28s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,748819398,08h14m33.4s -24d08m09s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,139900,20h31m28.0s +18d09m03s,0.74,0.9999,0.163,Ghost,Radio / CMB,DARK MATTER,,,492809,10h43m07.3s -32d43m10s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,213846,00h29m46.2s +17d07m43s,1.88,0.9999,0.413,High-Tension,B/V (Violet),CALCIUM,,,498043,18h20m13.1s +26d59m15s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,477023,01h28m39.6s -31d47m55s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,418796,11h24m19.9s +13d06m49s,0.58,0.6498,0.302,Collapse,X-Ray / Gamma,SINGULARITY,,,612993,20h45m33.0s -04d55m10s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,716472,21h31m23.7s -23d02m53s,1.52,0.9999,0.334,Stable,V-Band (Green),MAGNESIUM,
,238158194,23h41m49.3s +40d31m07s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,772230769,02h20m01.0s -32d52m27s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,140401,20h06m38.7s +10d15m41s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,501171,13h11m47.5s -15d03m29s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,214515,07h34m40.0s +11d41m44s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,499381,09h30m35.5s +24d15m18s,1.79,0.807,0.605,Collapse,X-Ray / Gamma,SINGULARITY,,,478528,23h59m11.0s -19d54m09s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,425819,23h31m58.4s +11d18m39s,1.26,0.9999,0.276,Forming,K-Band (IR),PROTO-MATTER,,,616338,13h59m48.4s -28d11m10s,0.92,0.8955,0.252,Collapse,X-Ray / Gamma,SINGULARITY,,,718478,19h13m02.8s +00d06m05s,0.72,0.9999,0.158,Ghost,Radio / CMB,DARK MATTER,
,243174916,17h38m15.4s +51d16m47s,1.15,0.9999,0.253,Forming,K-Band (IR),PROTO-MATTER,,,,775575251,22h19m46.1s -15d58m14s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,143411,16h02m16.5s +32d56m02s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,506187,21h50m35.9s -12d33m41s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,215184,02h33m39.1s +19d54m03s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,502057,14h29m25.7s +19d36m40s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,481538,20h53m44.6s -16d38m43s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,432843,18h17m43.4s +24d08m31s,0.69,0.9999,0.152,Ghost,Radio / CMB,DARK MATTER,,,621355,00h51m12.0s -21d36m45s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,722492,21h16m27.6s +00d01m47s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,244847157,16h32m31.4s +53d58m36s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,805675585,04h21m07.9s -11d37m37s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,144415,14h56m26.1s +18d24m46s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,512876,03h09m31.0s -17d06m16s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,217860,23h54m39.9s +24d49m06s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,506070,12h38m55.0s +16d07m25s,1.68,0.9999,0.369,High-Tension,B/V (Violet),CALCIUM,,,483043,20h51m20.4s -28d32m16s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,434013,01h13m02.4s +27d46m14s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,628043,04h51m55.6s -29d03m25s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,730518,07h56m03.2s -12d27m14s,0.67,0.9999,0.147,Ghost,Radio / CMB,DARK MATTER,
,247355518,14h33m57.6s +43d14m21s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,815709030,21h43m37.2s -06d20m58s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,145418,14h25m16.5s +04d25m04s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,517893,03h23m07.4s -12d09m37s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,219197,10h03m37.4s +26d44m23s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,507408,23h00m30.2s +16d07m44s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,484548,22h19m38.3s -36d48m07s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,435184,03h41m55.9s +26d57m19s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,633060,00h06m02.3s -24d48m27s,1.48,0.9999,0.326,Stable,V-Band (Green),MAGNESIUM,,,734532,03h07m50.1s -20d23m25s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,249027759,10h17m13.4s +60d07m26s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,822397993,14h37m57.3s -33d32m53s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,147926,16h27m07.9s +04d34m08s,0.58,0.7518,0.227,Collapse,X-Ray / Gamma,SINGULARITY,,,519565,07h32m37.1s -29d54m54s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,219866,03h37m47.9s +02d42m02s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,511421,21h45m34.3s +19d42m15s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,486054,01h04m41.7s -33d29m12s,1.71,0.9999,0.376,High-Tension,B/V (Violet),CALCIUM,,,437525,21h11m41.2s +14d29m18s,0.57,0.9079,0.153,Ghost,Radio / CMB,DARK MATTER,,,638077,01h11m28.1s -14d27m20s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,736538,02h45m24.2s -01d37m50s,0.92,0.9999,0.202,Forming,K-Band (IR),PROTO-MATTER,
,250700000,07h24m19.0s +29d29m59s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,835775920,22h11m50.9s -34d00m24s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,148930,18h29m48.4s +20d27m37s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,534615,14h34m51.2s -12d42m16s,2.65,0.9999,0.584,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,220535,01h44m18.7s +28d10m36s,1.55,0.9999,0.34,Stable,V-Band (Green),MAGNESIUM,,,519448,22h40m55.7s +36d15m13s,5.02,0.9999,1.105,Fuel,UV / Lyman,HYDROGEN,,,487559,04h26m26.4s -21d40m36s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,445719,00h39m08.0s +27d10m34s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,639749,01h18m49.0s -28d57m41s,0.22,0.4579,0.229,Collapse,X-Ray / Gamma,SINGULARITY,,,744565,16h31m39.9s -01d21m16s,0.78,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,
Sync & Pull Matches,,,,,,,,,,,,839120401,17h40m46.0s -17d03m30s,2.32,0.9999,0.51,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,149933,20h57m37.2s +33d49m05s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,541304,18h41m08.1s -14d02m55s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,221204,10h02m17.9s +01d32m01s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,522124,20h29m07.2s +41d09m22s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,489064,07h32m04.5s -12d37m26s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,449231,07h56m50.1s +17d57m57s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,648110,09h33m42.0s +00d19m28s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,748579,13h31m16.4s -08d08m49s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,45850502,17h45m46.0s +45d04m56s,0.68,0.8962,0.188,Collapse,X-Ray / Gamma,SINGULARITY,,,,849153846,22h54m58.4s -33d04m18s,0.61,0.8624,0.179,Collapse,X-Ray / Gamma,SINGULARITY,,,150435,22h15m29.3s +06d56m50s,1.47,0.9999,0.324,Stable,V-Band (Green),MAGNESIUM,,,544649,10h38m56.5s -30d39m58s,0.8,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,222542,01h46m41.8s +00d56m52s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,524799,23h21m23.7s +44d12m21s,1.22,0.8395,0.381,Collapse,X-Ray / Gamma,SINGULARITY,,,493579,09h10m33.2s -36d28m33s,0.67,0.8315,0.214,Collapse,X-Ray / Gamma,SINGULARITY,,,452742,13h22m15.5s +01d25m37s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,649783,15h52m38.4s -18d19m42s,1.1,0.9999,0.242,Forming,K-Band (IR),PROTO-MATTER,,,750585,11h02m34.2s -12d38m54s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,54211706,02h05m39.4s +49d40m40s,0.44,0.7858,0.155,Collapse,X-Ray / Gamma,SINGULARITY,,,,852498328,10h14m15.9s -12d42m22s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,150936,23h32m48.4s +21d54m54s,1.47,0.863,0.434,Collapse,X-Ray / Gamma,SINGULARITY,,,546321,14h26m51.9s -11d22m52s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,223211,07h40m09.5s +29d20m21s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,526137,04h44m07.6s +44d50m48s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,501104,07h02m41.8s -24d40m06s,0.96,0.9999,0.212,Forming,K-Band (IR),PROTO-MATTER,,,453913,09h02m24.4s +03d58m41s,0.57,0.4467,0.626,Collapse,X-Ray / Gamma,SINGULARITY,,,654799,10h13m29.5s -06d51m09s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,756605,17h45m05.5s -23d48m47s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,70097993,00h23m00.7s +41d45m22s,0.47,0.8261,0.153,Collapse,X-Ray / Gamma,SINGULARITY,,,,862531773,14h19m11.9s -30d47m44s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,151438,00h47m09.9s +26d07m39s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,547993,21h27m50.8s -26d38m42s,1.11,0.7739,0.408,Collapse,X-Ray / Gamma,SINGULARITY,,,224548,04h45m54.8s +28d59m50s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,527475,05h49m12.1s +44d50m48s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,510134,16h42m30.4s -22d33m58s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,455084,04h44m11.1s +10d28m52s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,656472,18h06m18.2s -29d19m24s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,760619,00h41m15.6s -26d40m15s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
