SECTION F,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,28475,10h18m02.6s -37d53m51s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,35525,05h24m57.7s +05d58m34s,1.59,0.9999,0.349,Stable,V-Band (Green),MAGNESIUM,,,37174,15h54m29.6s -63d32m07s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41699,11h56m44.4s +38d20m39s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32184,12h46m10.8s -13d14m41s,0.68,0.7304,0.28,Collapse,X-Ray / Gamma,SINGULARITY,,,41060,12h54m13.1s +47d39m17s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38324,11h42m36.4s -35d56m44s,1.23,0.923,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34151,08h18m21.9s +29d00m47s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44013,15h31m18.1s +47d26m49s,1.25,0.9999,0.276,Forming,K-Band (IR),PROTO-MATTER,,,28791,14h42m34.5s -53d19m41s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,28508,09h06m48.8s -19d33m36s,1.74,0.9999,0.382,High-Tension,B/V (Violet),CALCIUM,,,,35575,10h56m27.9s +19d14m47s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37274,13h08m54.5s -67d48m58s,1.27,0.99,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41900,05h35m47.3s +20d37m42s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32217,11h21m00.3s -12d13m58s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41181,10h00m51.9s +40d26m16s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38525,17h09m08.3s -54d28m24s,1.21,0.9999,0.265,Forming,K-Band (IR),PROTO-MATTER,,,34184,09h36m39.1s +25d23m51s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44120,17h59m01.8s +55d30m46s,0.71,0.9984,0.157,Ghost,Radio / CMB,DARK MATTER,,,28808,13h08m03.1s -43d13m50s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,28625,11h18m27.6s -38d42m40s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,35977,12h11m55.7s +19d04m33s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37324,14h11m10.8s -58d47m07s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42033,08h16m30.6s +33d42m13s,7.82,0.9999,1.72,Fuel,UV / Lyman,HYDROGEN,,,32351,08h01m41.7s -06d36m21s,1.56,0.9999,0.343,Stable,V-Band (Green),MAGNESIUM,,,41341,11h46m14.2s +38d07m40s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38575,11h30m46.7s -39d38m07s,1.49,0.8612,0.443,Collapse,X-Ray / Gamma,SINGULARITY,,,34318,10h07m14.4s +34d25m32s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44281,15h45m08.3s +58d14m29s,3.28,0.9999,0.723,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,28841,14h29m24.7s -43d37m45s,1.75,0.9999,0.386,High-Tension,B/V (Violet),CALCIUM,
,28659,11h44m31.1s -21d05m15s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,36027,05h21m33.7s +07d19m04s,1.19,0.9999,0.262,Forming,K-Band (IR),PROTO-MATTER,,,37525,13h37m27.0s -57d58m07s,0.4,0.6828,0.189,Collapse,X-Ray / Gamma,SINGULARITY,,,42100,11h02m11.2s +39d18m08s,0.48,0.7651,0.179,Collapse,X-Ray / Gamma,SINGULARITY,,,32452,10h52m42.5s -10d58m53s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41421,13h44m22.5s +37d07m39s,9.49,0.9999,2.087,Fuel,UV / Lyman,HYDROGEN,,,38625,14h08m26.3s -42d22m01s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34351,08h57m16.4s +18d00m50s,1.07,0.9999,0.235,Forming,K-Band (IR),PROTO-MATTER,,,44334,19h30m20.6s +44d55m33s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28891,11h02m57.3s -39d51m14s,1.97,0.8843,0.553,Collapse,X-Ray / Gamma,SINGULARITY,
,28676,04h27m32.4s -21d14m17s,1.13,0.9999,0.249,Forming,K-Band (IR),PROTO-MATTER,,,,36077,11h49m17.2s +04d18m07s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38027,14h35m39.8s -55d15m48s,0.91,0.9277,0.233,Forming,K-Band (IR),PROTO-MATTER,,,42368,06h51m40.1s +20d48m25s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32686,13h47m14.5s -09d42m37s,1.27,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41702,15h12m06.5s +55d12m09s,0.64,0.854,0.193,Collapse,X-Ray / Gamma,SINGULARITY,,,38776,17h25m57.4s -47d24m39s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34452,04h50m00.9s +19d01m39s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44361,17h19m24.4s +59d35m09s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28908,16h39m05.3s -37d06m56s,0.95,0.8977,0.258,Collapse,X-Ray / Gamma,SINGULARITY,
,28692,11h35m05.8s -33d24m07s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,36127,08h09m49.5s +20d04m43s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38077,13h38m28.9s -56d15m52s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42502,06h36m42.7s +35d54m01s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32719,12h20m23.7s -23d51m28s,0.9,0.8859,0.253,Collapse,X-Ray / Gamma,SINGULARITY,,,41823,17h24m49.3s +34d28m28s,1.65,0.9999,0.363,High-Tension,B/V (Violet),CALCIUM,,,38826,11h19m30.7s -50d43m49s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34485,04h00m44.7s +34d04m58s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44522,19h22m29.6s +62d05m43s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28941,17h05m53.6s -54d49m06s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,28742,05h57m32.5s -19d05m35s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,36177,07h45m48.7s +02d43m13s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38127,10h28m27.9s -69d36m55s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42635,11h57m44.4s +35d56m11s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32853,08h00m37.1s -18d01m57s,1.17,0.7383,0.473,Collapse,X-Ray / Gamma,SINGULARITY,,,41943,15h45m33.1s +55d23m47s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39027,17h40m53.0s -36d44m22s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34518,03h45m05.7s +14d43m23s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44548,16h34m08.3s +57d40m44s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28975,16h59m26.6s -37d14m18s,1.14,0.7808,0.411,Collapse,X-Ray / Gamma,SINGULARITY,
,28759,09h39m43.4s -24d15m16s,0.8,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,,36278,05h22m47.3s +18d20m21s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38278,15h04m51.2s -66d49m04s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42702,13h01m20.7s +27d05m15s,1.26,0.9999,0.277,Forming,K-Band (IR),PROTO-MATTER,,,32886,08h13m01.2s -16d56m52s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42064,11h53m26.1s +35d11m32s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39278,17h53m44.9s -36d36m14s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,34585,05h00m46.7s +18d42m58s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44575,13h17m47.7s +44d56m00s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29008,16h20m18.7s -50d53m59s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,28793,08h11m55.3s -37d25m50s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,36528,05h26m10.7s +18d43m50s,0.91,0.9999,0.199,Forming,K-Band (IR),PROTO-MATTER,,,38378,10h49m14.3s -66d27m60s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42836,09h02m39.8s +21d34m25s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33020,13h31m06.0s -24d48m49s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42104,17h29m49.0s +54d30m40s,0.88,0.6695,0.434,Collapse,X-Ray / Gamma,SINGULARITY,,,39528,18h04m24.4s -47d43m09s,1.69,0.9999,0.372,High-Tension,B/V (Violet),CALCIUM,,,34686,09h23m30.2s +17d50m31s,2.25,0.9999,0.496,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,44602,12h13m07.9s +63d12m22s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29042,15h14m27.8s -44d11m17s,1.2,0.9466,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,28809,08h53m33.1s -25d02m03s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,36829,13h00m41.2s +19d42m24s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38528,15h33m45.7s -69d48m32s,3.57,0.9999,0.786,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,43304,11h29m28.1s +22d55m11s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33355,08h09m00.8s -19d43m14s,0.84,0.9999,0.184,Forming,K-Band (IR),PROTO-MATTER,,,42224,14h38m00.9s +36d39m59s,2.22,0.9999,0.488,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,39579,10h51m34.1s -35d25m08s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34719,10h36m56.9s +34d54m39s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44763,12h43m14.6s +65d00m50s,0.63,0.8209,0.207,Collapse,X-Ray / Gamma,SINGULARITY,,,29075,13h52m22.3s -42d21m18s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,28843,10h20m42.4s -28d13m07s,2.56,0.9999,0.564,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,36980,11h59m35.6s +16d03m53s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38579,13h09m50.1s -56d36m02s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43371,08h30m45.7s +31d59m22s,1.23,0.9999,0.271,Forming,K-Band (IR),PROTO-MATTER,,,33455,09h45m45.8s -03d40m41s,0.79,0.853,0.238,Collapse,X-Ray / Gamma,SINGULARITY,,,42264,17h31m33.2s +52d51m01s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39679,14h49m00.3s -42d12m11s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35020,03h48m21.9s +33d28m11s,1.07,0.9999,0.235,Forming,K-Band (IR),PROTO-MATTER,,,44816,15h10m41.3s +46d45m33s,1.58,0.9999,0.347,Stable,V-Band (Green),MAGNESIUM,,,29092,14h20m10.2s -53d46m15s,2.66,0.8513,0.808,Collapse,X-Ray / Gamma,SINGULARITY,
,28876,11h28m05.8s -34d28m56s,0.72,0.8464,0.221,Collapse,X-Ray / Gamma,SINGULARITY,,,,37030,05h39m58.8s +00d57m31s,1.2,0.9999,0.265,Forming,K-Band (IR),PROTO-MATTER,,,38729,09h33m05.1s -51d54m56s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43773,13h24m25.2s +24d47m55s,1.27,0.6779,0.606,Collapse,X-Ray / Gamma,SINGULARITY,,,33555,14h40m29.3s -14d05m57s,0.44,0.6436,0.236,Collapse,X-Ray / Gamma,SINGULARITY,,,42385,17h04m02.2s +38d50m42s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39779,18h12m43.8s -55d44m00s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35054,03h51m49.8s +20d35m18s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44870,20h13m26.1s +51d45m27s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29109,12h27m22.7s -52d30m60s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,28893,04h34m12.3s -21d22m18s,4.78,0.7755,1.75,Collapse,X-Ray / Gamma,SINGULARITY,,,,37130,07h09m24.2s +10d39m20s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38779,16h02m07.7s -59d48m06s,0.73,0.7853,0.261,Collapse,X-Ray / Gamma,SINGULARITY,,,43839,11h03m36.4s +34d32m43s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33656,16h31m48.0s -26d55m39s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42625,10h05m13.5s +43d06m06s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39829,10h45m00.4s -37d17m52s,0.33,0.6321,0.18,Collapse,X-Ray / Gamma,SINGULARITY,,,35187,09h01m00.4s +36d12m17s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44923,14h51m12.4s +66d07m38s,0.69,0.8936,0.19,Collapse,X-Ray / Gamma,SINGULARITY,,,29142,11h13m33.4s -36d02m43s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,29010,10h14m27.2s -36d25m01s,3.77,0.9999,0.831,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,37431,10h14m35.9s +00d25m15s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39030,16h29m41.5s -49d34m60s,2.48,0.9999,0.546,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,43973,06h06m27.3s +38d13m26s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33689,15h48m37.5s -03d46m42s,1.23,0.9999,0.271,Forming,K-Band (IR),PROTO-MATTER,,,42666,16h10m19.2s +46d06m48s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39980,12h07m35.9s -34d22m14s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35355,10h59m14.2s +31d54m51s,4.27,0.9999,0.94,Fuel,UV / Lyman,HYDROGEN,,,44977,12h55m26.0s +48d54m40s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29176,10h23m24.1s -55d24m15s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,29094,10h16m07.1s -39d16m08s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,37482,11h39m56.6s +11d23m40s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39281,16h56m11.3s -52d49m55s,0.52,0.765,0.197,Collapse,X-Ray / Gamma,SINGULARITY,,,44040,06h38m52.1s +29d03m31s,4.47,0.9999,0.984,Fuel,UV / Lyman,HYDROGEN,,,33890,08h00m28.5s -27d19m51s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42786,11h59m43.5s +46d18m01s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40030,18h18m36.9s -49d45m17s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35421,08h00m17.7s +36d37m55s,0.49,0.7714,0.181,Collapse,X-Ray / Gamma,SINGULARITY,,,45003,16h13m37.7s +66d22m52s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29259,16h52m56.1s -55d27m36s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,29177,04h10m44.8s -40d32m12s,1.01,0.9999,0.221,Forming,K-Band (IR),PROTO-MATTER,,,,37532,06h03m46.3s +17d51m39s,1.65,0.9999,0.363,High-Tension,B/V (Violet),CALCIUM,,,39331,12h20m39.3s -57d56m07s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44375,10h31m33.9s +41d16m29s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34023,12h28m41.7s -11d05m28s,1.86,0.9999,0.41,High-Tension,B/V (Violet),CALCIUM,,,42826,18h06m11.1s +42d53m19s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40181,14h17m30.2s -54d14m05s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35589,04h10m22.9s +33d12m58s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45057,20h16m06.4s +50d13m24s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29343,14h07m40.4s -53d50m58s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,29278,06h41m36.5s -27d14m22s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,37732,11h27m04.5s +00d25m57s,1.15,0.8727,0.333,Collapse,X-Ray / Gamma,SINGULARITY,,,39381,12h32m40.4s -69d54m03s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44508,06h07m44.5s +26d21m04s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34057,14h17m06.2s -23d52m44s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42906,09h49m30.4s +41d16m49s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40532,18h22m47.6s -34d27m43s,6.57,0.9999,1.446,Fuel,UV / Lyman,HYDROGEN,,,35689,08h30m10.2s +15d00m19s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45084,17h43m48.1s +66d25m05s,0.16,0.4501,0.175,Collapse,X-Ray / Gamma,SINGULARITY,,,29360,12h51m05.3s -41d10m01s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,29294,09h17m33.1s -17d09m57s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,37783,06h19m33.0s +20d52m06s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39431,16h56m09.3s -49d17m08s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,44575,07h20m40.9s +19d07m19s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34224,15h38m00.5s -14d38m07s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42946,14h55m30.8s +49d30m33s,0.4,0.6836,0.186,Collapse,X-Ray / Gamma,SINGULARITY,,,40632,18h03m29.4s -51d28m51s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35722,10h12m06.3s +30d56m33s,0.68,0.9803,0.155,Ghost,Radio / CMB,DARK MATTER,,,45191,17h20m00.4s +46d11m51s,0.61,0.9406,0.152,Ghost,Radio / CMB,DARK MATTER,,,29376,15h39m09.1s -35d03m38s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,29344,10h07m48.1s -37d29m16s,1.13,0.9999,0.249,Forming,K-Band (IR),PROTO-MATTER,,,,38033,06h37m55.8s +09d28m53s,1.66,0.9999,0.366,High-Tension,B/V (Violet),CALCIUM,,,39482,09h35m27.8s -63d51m41s,0.76,0.7843,0.272,Collapse,X-Ray / Gamma,SINGULARITY,,,44709,13h26m47.1s +29d46m44s,1.22,0.9999,0.269,Forming,K-Band (IR),PROTO-MATTER,,,34358,08h59m18.3s -27d34m56s,1.84,0.9999,0.406,High-Tension,B/V (Violet),CALCIUM,,,43027,11h59m14.1s +51d02m20s,0.7,0.8929,0.194,Collapse,X-Ray / Gamma,SINGULARITY,,,40732,13h27m24.1s -53d28m26s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35823,12h31m31.9s +34d27m35s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45244,20h04m00.1s +65d49m07s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29477,17h53m12.1s -49d22m07s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,29378,11h36m42.6s -17d30m03s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,38084,14h23m33.5s +19d34m34s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39532,17h21m21.7s -65d49m04s,1.17,0.9999,0.258,Forming,K-Band (IR),PROTO-MATTER,,,44977,07h03m57.7s +23d41m44s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34391,08h09m12.0s -05d15m18s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43107,17h34m41.5s +52d28m38s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40783,18h21m00.8s -45d45m44s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35890,10h45m04.6s +36d57m57s,0.97,0.8231,0.314,Collapse,X-Ray / Gamma,SINGULARITY,,,45298,13h14m33.4s +54d49m41s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29510,17h25m30.8s -46d38m50s,1.47,0.9999,0.323,Stable,V-Band (Green),MAGNESIUM,
,29411,12h35m54.2s -41d07m01s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,38134,06h18m40.3s -01d51m08s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39632,13h02m57.2s -68d53m06s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45043,06h19m43.4s +18d14m51s,0.66,0.8056,0.224,Collapse,X-Ray / Gamma,SINGULARITY,,,34458,08h42m38.2s -16d12m43s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43187,10h07m01.0s +53d47m40s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40933,13h24m50.8s -39d41m10s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35923,09h07m42.8s +15d37m01s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,45351,14h30m43.1s +44d08m35s,1.78,0.9999,0.391,High-Tension,B/V (Violet),CALCIUM,,,29527,10h57m24.4s -35d02m37s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,29445,12h55m23.3s -18d53m33s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,38284,06h58m53.1s -01d41m51s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39983,09h49m08.5s -49d36m21s,1.29,0.835,0.406,Collapse,X-Ray / Gamma,SINGULARITY,,,45244,14h20m44.0s +40d54m37s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34492,10h01m41.6s -07d59m25s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43428,17h52m17.8s +56d45m29s,2.29,0.9999,0.504,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,41033,18h16m39.5s -56d32m07s,1.54,0.9999,0.34,Stable,V-Band (Green),MAGNESIUM,,,35957,07h20m38.4s +29d46m11s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,45378,18h26m13.1s +56d29m32s,0.61,0.9825,0.14,Ghost,Radio / CMB,DARK MATTER,,,29610,13h18m14.4s -34d11m44s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
