SECTION D,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,5003863,20h24m54.4s +71d30m49s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7205017,06h05m35.9s -49d46m33s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4042642,21h37m14.4s -09d59m54s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8381271,19h44m29.3s -06d22m02s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1725682,14h47m39.0s +36d09m59s,2.02,0.9999,0.444,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,1410569,09h23m12.9s +49d19m42s,4.14,0.9999,0.91,Fuel,UV / Lyman,HYDROGEN,,,6309365,03h29m12.8s +00d44m44s,1.23,0.9999,0.271,Forming,K-Band (IR),PROTO-MATTER,,,6152174,01h19m55.6s -23d30m51s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7973244,06h16m11.7s +08d31m48s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9877926,11h31m40.7s -16d10m28s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,5020585,10h19m38.5s +75d05m08s,1.23,0.9999,0.27,Forming,K-Band (IR),PROTO-MATTER,,,,7312040,15h17m24.6s -53d57m04s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,4096154,18h54m35.0s +03d56m14s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8548495,05h51m17.7s +02d06m56s,0.49,0.56,0.347,Collapse,X-Ray / Gamma,SINGULARITY,,,1815983,08h03m21.1s +31d51m53s,0.71,0.9999,0.156,Ghost,Radio / CMB,DARK MATTER,,,1427291,22h38m55.0s +46d03m35s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6332776,12h03m34.3s -03d52m06s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6282609,19h03m04.4s -34d59m12s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8093645,12h00m06.8s +08d19m58s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9918060,02h03m21.0s -16d14m25s,0.71,0.9999,0.157,Ghost,Radio / CMB,DARK MATTER,
,5070753,09h27m21.9s +70d54m07s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7365552,14h12m39.7s -49d25m44s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4122910,13h52m29.8s -10d18m28s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8581940,19h15m44.3s -06d43m51s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1826017,12h16m02.2s +19d17m15s,0.91,0.9999,0.201,Forming,K-Band (IR),PROTO-MATTER,,,1444013,07h46m10.8s +41d28m29s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6379599,10h33m24.3s -04d27m21s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6326087,17h23m10.3s -29d54m24s,3.21,0.9999,0.706,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,8183946,14h29m42.6s +17d32m42s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10118729,11h52m02.7s -16d34m27s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,5187809,20h46m18.3s +66d51m18s,1.13,0.9999,0.249,Forming,K-Band (IR),PROTO-MATTER,,,,7392308,07h31m14.7s -54d00m36s,1.17,0.9296,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4189799,21h03m06.6s +02d30m46s,1.33,0.8755,0.382,Collapse,X-Ray / Gamma,SINGULARITY,,,8648829,03h51m54.1s -05d12m40s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1846084,20h58m26.4s +36d46m35s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1460736,10h44m37.6s +36d47m58s,0.76,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,6403010,01h53m02.6s -01d42m56s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,6543478,10h14m01.7s -25d13m38s,1.22,0.9999,0.269,Forming,K-Band (IR),PROTO-MATTER,,,8214047,06h47m00.9s +08d08m17s,1.18,0.9999,0.26,Forming,K-Band (IR),PROTO-MATTER,,,10158863,02h31m24.5s -16d38m31s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,5204532,05h17m15.7s +72d04m16s,1.65,0.8318,0.525,Collapse,X-Ray / Gamma,SINGULARITY,,,,7445819,06h16m19.4s -49d15m11s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4216555,11h50m20.3s +04d04m55s,0.68,0.8478,0.21,Collapse,X-Ray / Gamma,SINGULARITY,,,8682274,02h11m48.4s +03d46m26s,1.26,0.9999,0.277,Forming,K-Band (IR),PROTO-MATTER,,,1876184,11h36m32.4s +24d02m44s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1494181,09h55m35.1s +31d59m15s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6449833,21h54m18.7s +06d29m00s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6565217,21h26m03.0s -21d52m58s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8244147,21h10m42.5s +16d40m47s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10198997,03h58m28.7s -16d42m36s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,5271421,10h58m43.8s +70d55m17s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7499331,14h36m24.0s -64d36m32s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4256689,03h10m08.9s +04d07m38s,2.44,0.9999,0.538,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,8816054,15h27m22.6s -10d43m10s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1886217,23h12m14.1s +36d58m52s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1519264,15h43m24.0s +48d15m24s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6520067,12h51m47.2s +10d32m12s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6608696,19h41m23.8s -39d26m55s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8274247,10h02m14.5s +26d15m38s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10239130,18h41m07.1s -16d46m43s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,5288144,17h24m35.3s +65d24m51s,0.57,0.8172,0.189,Collapse,X-Ray / Gamma,SINGULARITY,,,,7713378,00h27m45.7s -54d16m45s,1.16,0.9999,0.254,Forming,K-Band (IR),PROTO-MATTER,,,4270067,13h18m14.0s +02d43m50s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9016722,02h16m24.9s -10d58m55s,1.2,0.9999,0.263,Forming,K-Band (IR),PROTO-MATTER,,,1926351,13h02m32.8s +37d11m10s,0.98,0.9999,0.215,Forming,K-Band (IR),PROTO-MATTER,,,1535987,02h42m31.9s +43d53m17s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6543478,23h53m56.0s +07d45m25s,1.22,0.9999,0.269,Forming,K-Band (IR),PROTO-MATTER,,,6652174,17h43m03.7s -23d12m45s,0.67,0.9999,0.148,Ghost,Radio / CMB,DARK MATTER,,,8304348,22h36m14.5s +17d42m03s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10279264,20h04m43.9s -16d50m50s,0.83,0.7351,0.339,Collapse,X-Ray / Gamma,SINGULARITY,
,5304866,08h00m59.9s +60d04m25s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7740134,14h54m10.2s -64d56m12s,0.78,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,,,4283445,22h22m49.8s -10d55m33s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9117057,23h44m19.3s +07d58m04s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1936385,22h01m55.7s +31d57m48s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1544348,09h56m28.5s +41d40m59s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6566890,07h46m00.5s +03d38m33s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6695652,15h29m26.6s -33d46m59s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8334448,12h18m09.3s +07d56m45s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10479933,19h11m20.4s -17d11m42s,0.47,0.7728,0.175,Collapse,X-Ray / Gamma,SINGULARITY,
,5355033,06h19m34.1s +57d09m14s,1.98,0.9999,0.436,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,7766890,22h31m59.9s -48d32m13s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4296823,03h58m16.5s +04d10m15s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9250836,23h42m04.8s -04d50m26s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1976518,16h26m49.7s +31d59m31s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1577793,20h43m56.1s +50d18m11s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6613712,08h56m25.6s -04d11m14s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6717391,02h16m42.7s -39d46m07s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8394649,21h09m04.1s +26d27m04s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10520067,20h22m23.8s -17d15m56s,1.51,0.9999,0.333,Stable,V-Band (Green),MAGNESIUM,
,5438645,00h52m10.6s +77d26m49s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7847157,14h36m12.6s -48d21m17s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4310201,07h09m18.5s +02d50m30s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9284281,09h44m21.8s +04d55m52s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2016652,14h05m47.4s +32d01m07s,0.93,0.7616,0.354,Collapse,X-Ray / Gamma,SINGULARITY,,,1627960,23h39m32.4s +46d25m06s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6660535,09h53m54.5s -05d08m08s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6760870,23h39m41.3s -21d39m23s,1.59,0.9999,0.349,Stable,V-Band (Green),MAGNESIUM,,,8454849,07h16m24.0s +07d45m23s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10600334,12h27m55.2s -17d24m26s,0.8,0.7696,0.297,Collapse,X-Ray / Gamma,SINGULARITY,
,5455368,04h09m59.3s +75d26m17s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7900669,23h04m54.9s -65d08m40s,0.69,0.9999,0.152,Ghost,Radio / CMB,DARK MATTER,,,4336957,19h18m26.2s +04d12m48s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9351171,22h20m24.7s +01d37m18s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2026686,20h27m44.8s +18d15m37s,1.48,0.9934,0.331,Stable,V-Band (Green),MAGNESIUM,,,1636321,01h46m34.9s +39d07m28s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6683946,17h40m51.3s -02d19m20s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6782609,10h15m44.0s -24d28m52s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8484950,21h50m51.3s +16d21m20s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10640468,03h32m24.0s -17d28m43s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,5488813,04h34m00.6s +65d03m54s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7954181,01h11m13.3s -54d30m59s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4363712,14h37m52.8s -11d14m03s,0.94,0.7979,0.324,Collapse,X-Ray / Gamma,SINGULARITY,,,9384615,13h04m56.2s -08d16m23s,1.42,0.9971,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2046753,07h35m24.4s +37d48m19s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1661405,21h11m22.5s +35d56m59s,1.14,0.9999,0.25,Forming,K-Band (IR),PROTO-MATTER,,,6707358,04h49m44.4s +01d54m25s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,6804348,20h48m29.6s -36d11m27s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8515050,10h44m03.5s +26d38m21s,1.52,0.9999,0.334,Stable,V-Band (Green),MAGNESIUM,,,10720736,19h43m12.4s -17d37m19s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,5522258,15h37m36.2s +55d40m42s,1,0.9999,0.219,Forming,K-Band (IR),PROTO-MATTER,,,,7980936,15h09m57.3s -65d14m42s,1.66,0.9999,0.366,High-Tension,B/V (Violet),CALCIUM,,,4377090,20h05m52.1s +04d15m14s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9451505,20h41m27.2s -04d40m56s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2096920,06h09m11.8s +32d03m56s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1703211,12h15m18.7s +51d48m31s,4.57,0.8271,1.469,Collapse,X-Ray / Gamma,SINGULARITY,,,6777592,19h47m10.2s +11d49m53s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6847826,17h45m35.4s -29d09m49s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8695652,07h44m12.7s +07d23m12s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10841137,12h43m23.3s -17d50m20s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,5572425,14h42m06.3s +61d32m32s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,8248495,22h59m22.9s -47d25m38s,1.16,0.9999,0.256,Forming,K-Band (IR),PROTO-MATTER,,,4390468,23h09m51.0s +03d04m03s,1.94,0.9999,0.427,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,9585284,21h01m29.2s -08d40m41s,0.55,0.7401,0.223,Collapse,X-Ray / Gamma,SINGULARITY,,,2116987,11h33m16.7s +23d53m09s,1.19,0.8919,0.329,Collapse,X-Ray / Gamma,SINGULARITY,,,1711572,19h45m11.1s +32d21m21s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6824415,15h43m24.0s +08d22m43s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6913043,00h56m56.9s -38d16m07s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8785953,23h44m47.4s +18d23m12s,0.68,0.9133,0.178,Ghost,Radio / CMB,DARK MATTER,,,10921405,04h48m10.6s -17d59m06s,1,0.9999,0.221,Forming,K-Band (IR),PROTO-MATTER,
,5589147,05h11m58.6s +67d33m12s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,8409030,07h09m45.5s -47d02m58s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4457358,12h13m06.8s +04d19m52s,1.18,0.9399,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9618729,08h51m32.6s -11d42m43s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2127020,23h46m26.0s +38d13m15s,3.06,0.9999,0.674,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,1719933,02h46m50.2s +48d53m05s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6847826,07h27m18.4s +04d02m18s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6978261,08h03m58.4s -20d28m46s,1.11,0.9999,0.245,Forming,K-Band (IR),PROTO-MATTER,,,8816054,12h58m52.8s +07d12m24s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11001672,20h52m47.0s -18d07m55s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,5689482,01h27m08.2s +64d41m04s,0.52,0.7094,0.228,Collapse,X-Ray / Gamma,SINGULARITY,,,,8489298,23h15m12.6s -46d51m34s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4484114,19h29m42.7s -11d41m43s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9685619,17h59m29.2s +05d44m28s,1.06,0.9999,0.233,Forming,K-Band (IR),PROTO-MATTER,,,2147087,04h10m24.9s +17d38m14s,1.4,0.8733,0.403,Collapse,X-Ray / Gamma,SINGULARITY,,,1736656,08h36m00.7s +43d53m41s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6871237,20h58m40.6s +00d39m38s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7021739,04h53m50.3s -39d49m57s,1.96,0.7997,0.675,Collapse,X-Ray / Gamma,SINGULARITY,,,8876254,21h19m52.3s +27d11m03s,0.85,0.8636,0.249,Collapse,X-Ray / Gamma,SINGULARITY,,,11122074,04h39m58.9s -18d21m14s,0.56,0.5376,0.428,Collapse,X-Ray / Gamma,SINGULARITY,
,5706204,16h34m41.5s +58d52m12s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,8516054,18h55m10.2s -55d11m13s,1.48,0.9999,0.325,Stable,V-Band (Green),MAGNESIUM,,,4524247,23h07m40.8s -11d50m55s,1.18,0.9999,0.26,Forming,K-Band (IR),PROTO-MATTER,,,9719064,16h26m34.7s +08d40m57s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2177187,22h12m09.1s +32d06m15s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1745017,09h19m53.4s +41d59m56s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6894649,05h35m25.6s -04d28m13s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7086957,12h27m01.9s -21d01m19s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8906355,15h11m22.7s +18d34m25s,0.93,0.7626,0.351,Collapse,X-Ray / Gamma,SINGULARITY,,,11242475,21h05m30.9s -18d34m41s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,5756371,14h25m37.8s +56d33m08s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,8542809,07h39m00.9s -65d52m58s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4617893,20h26m32.6s +04d28m02s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9752508,06h29m46.9s +01d16m11s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2197254,03h32m21.6s +23d50m58s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1803545,14h10m49.4s +30d41m11s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7011706,15h20m43.9s +06d21m08s,1.18,0.9999,0.26,Forming,K-Band (IR),PROTO-MATTER,,,7108696,23h04m46.3s -32d04m14s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9117057,21h24m05.6s +27d31m50s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11322742,13h09m24.0s -18d43m43s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,5789816,05h38m07.1s +67d56m57s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,8569565,15h20m50.8s -46d40m07s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4658027,11h55m05.3s +04d29m51s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9819398,19h27m49.5s -11d56m03s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2217321,17h05m26.6s +32d07m13s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1828629,07h12m48.5s +46d43m01s,1.15,0.9999,0.254,Forming,K-Band (IR),PROTO-MATTER,,,7081940,05h48m02.6s +11d54m36s,0.59,0.73,0.242,Collapse,X-Ray / Gamma,SINGULARITY,,,7195652,18h16m47.0s -22d19m55s,0.87,0.9999,0.191,Forming,K-Band (IR),PROTO-MATTER,,,9207358,23h47m57.0s +15d14m07s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11362876,05h16m13.2s -18d48m15s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,5806538,12h25m04.3s +73d52m33s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,8596321,11h10m12.5s -55d17m45s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4711538,15h09m37.6s +04d01m24s,1.02,0.7987,0.351,Collapse,X-Ray / Gamma,SINGULARITY,,,9953177,11h56m55.0s +01d04m02s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2227355,20h08m21.5s +17d13m09s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1836990,13h51m49.8s +39d09m00s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7222408,03h35m37.7s -06d30m51s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7239130,16h18m46.2s -40d51m31s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9267559,01h00m28.9s +19d10m11s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11563545,13h19m59.7s -19d11m05s,0.7,0.8418,0.216,Collapse,X-Ray / Gamma,SINGULARITY,
,5856706,12h27m42.8s +76d00m50s,1.1,0.9999,0.243,Forming,K-Band (IR),PROTO-MATTER,,,,8623077,23h42m17.1s -65d57m51s,0.8,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,4791806,07h09m01.1s +04d16m30s,1.15,0.9999,0.252,Forming,K-Band (IR),PROTO-MATTER,,,10020067,17h41m15.0s -12d08m40s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2247421,05h22m41.2s +38d50m51s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1845351,17h22m41.0s +40d50m35s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7245819,10h51m53.1s -03d37m15s,1.57,0.9999,0.346,Stable,V-Band (Green),MAGNESIUM,,,7326087,13h09m30.8s -37d30m02s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9297659,13h46m36.3s +06d31m17s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11683946,22h07m00.0s -19d24m54s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
