SECTION A,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,26000,04h39m20.9s -20d12m49s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,23h33m19.9s +10d42m33s,1.96,0.9999,0.431,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,7300,02h07m10.2s +43d46m08s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h42m30.0s +22d41m08s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h01m11.6s -40d14m44s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h47m12.8s +21d52m25s,1.27,0.7194,0.541,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h21m17.2s +08d30m58s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h29m34.5s +30d29m41s,0.42,0.58,0.278,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,00h58m47.9s -31d25m55s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,12h30m24.2s +02d07m52s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,04h35m31.6s -19d55m26s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,23h35m15.2s +10d41m22s,1.85,0.7394,0.746,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,02h07m54.8s +43d48m58s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h41m55.3s +22d41m20s,1.25,0.9999,0.276,Forming,K-Band (IR),PROTO-MATTER,,,930,06h58m44.4s -40d08m10s,1.16,0.936,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h47m50.1s +21d55m55s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h21m01.6s +08d32m12s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h30m33.4s +30d28m31s,0.42,0.58,0.278,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,00h59m34.8s -31d23m05s,1.72,0.9999,0.377,High-Tension,B/V (Violet),CALCIUM,,,28000,12h31m24.1s +02d04m52s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,04h34m15.1s -19d49m38s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,23h36m12.9s +10d40m46s,1.85,0.7394,0.746,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,02h10m53.5s +44d00m20s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h40m45.9s +22d41m45s,0.34,0.5831,0.218,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h57m30.8s -40d04m53s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h48m52.1s +22d01m44s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h19m27.7s +08d39m33s,2.22,0.9999,0.488,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,7800,03h34m29.3s +30d23m53s,2.55,0.9999,0.56,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,11000,01h00m21.6s -31d20m16s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,12h32m23.9s +02d01m51s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,04h33m36.9s -19d46m44s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,23h37m10.6s +10d40m11s,1.85,0.7394,0.746,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,02h13m52.1s +44d11m43s,1.48,0.9999,0.326,Stable,V-Band (Green),MAGNESIUM,,,6500,06h36m08.4s +22d43m24s,1.48,0.9999,0.326,Stable,V-Band (Green),MAGNESIUM,,,930,06h55m40.3s -39d59m57s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h49m16.9s +22d04m04s,7.75,0.9999,1.706,Fuel,UV / Lyman,HYDROGEN,,,18000,03h16m51.3s +08d51m49s,0.89,0.9999,0.197,Forming,K-Band (IR),PROTO-MATTER,,,7800,03h37m26.1s +30d20m24s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h02m42.2s -31d11m48s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,12h33m23.7s +01d58m51s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,04h30m25.6s -19d32m15s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,23h41m01.3s +10d37m49s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,02h16m50.8s +44d23m05s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h35m33.7s +22d43m36s,0.8,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,,,930,06h53m49.9s -39d55m02s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h50m06.4s +22d08m43s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h16m04.4s +08d55m29s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h38m25.1s +30d19m14s,1.03,0.8868,0.289,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,01h05m02.8s -31d03m21s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,12h34m23.5s +01d55m50s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,04h27m52.4s -19d20m40s,1.65,0.9999,0.363,High-Tension,B/V (Violet),CALCIUM,,,,16000,23h41m59.0s +10d37m13s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,02h17m35.4s +44d25m56s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h33m49.6s +22d44m13s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h49m32.0s -39d43m32s,3.5,0.8295,1.118,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h50m18.7s +22d09m53s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h15m48.7s +08d56m43s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h39m24.0s +30d18m05s,1.03,0.8868,0.289,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,01h06m36.5s -30d57m42s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,12h38m22.8s +01d43m49s,0.5,0.8319,0.159,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,04h21m29.1s -18d51m42s,2.83,0.866,0.831,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,23h42m56.7s +10d36m38s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,02h19m04.7s +44d31m37s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h33m15.0s +22d44m26s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h48m18.3s -39d40m15s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h51m20.5s +22d15m43s,1.46,0.9999,0.321,Stable,V-Band (Green),MAGNESIUM,,,18000,03h15m33.1s +08d57m56s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h44m18.8s +30d12m17s,1.3,0.9715,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h07m23.4s -30d54m53s,1.57,0.9999,0.345,Stable,V-Band (Green),MAGNESIUM,,,28000,12h39m22.6s +01d40m48s,0.5,0.8319,0.159,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,04h20m12.3s -18d45m54s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,23h46m47.4s +10d34m15s,1,0.8115,0.334,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,02h19m49.4s +44d34m28s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h32m40.3s +22d44m38s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h43m23.3s -39d27m06s,1.68,0.9999,0.37,High-Tension,B/V (Violet),CALCIUM,,,800,07h52m22.2s +22d21m32s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h15m17.5s +08d59m10s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h45m17.8s +30d11m07s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h08m10.3s -30d52m04s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,28000,12h40m22.4s +01d37m48s,0.5,0.8319,0.159,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,04h17m00.4s -18d31m25s,0.7,0.9999,0.154,Ghost,Radio / CMB,DARK MATTER,,,,16000,23h47m45.1s +10d33m40s,1,0.8115,0.334,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,02h21m18.7s +44d40m09s,1.1,0.9999,0.241,Forming,K-Band (IR),PROTO-MATTER,,,6500,06h31m30.9s +22d45m03s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h42m46.4s -39d25m27s,0.48,0.7899,0.168,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h52m46.8s +22d23m51s,1.79,0.7875,0.634,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h15m01.8s +09d00m23s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h46m16.7s +30d09m58s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h15m12.2s -30d26m41s,1.48,0.9999,0.326,Stable,V-Band (Green),MAGNESIUM,,,28000,12h44m21.6s +01d25m46s,1.64,0.9999,0.362,High-Tension,B/V (Violet),CALCIUM,
,26000,04h16m22.0s -18d28m32s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,23h48m42.8s +10d33m04s,1,0.8115,0.334,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,02h22m47.9s +44d45m50s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h30m56.3s +22d45m15s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h40m18.9s -39d18m53s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h53m11.5s +22d26m11s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h14m46.2s +09d01m37s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h48m14.6s +30d07m38s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h15m59.1s -30d23m51s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,12h47m21.1s +01d16m45s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,04h15m43.5s -18d25m38s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,23h52m33.5s +10d30m42s,0.37,0.6759,0.179,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,02h28m45.1s +45d08m35s,2.25,0.9999,0.495,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,6500,06h30m21.6s +22d45m27s,2.41,0.9999,0.531,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,930,06h37m14.3s -39d10m39s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h53m23.8s +22d27m21s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h14m15.0s +09d04m04s,1.56,0.9999,0.342,Stable,V-Band (Green),MAGNESIUM,,,7800,03h49m13.6s +30d06m29s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h19m53.5s -30d09m45s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,12h48m20.9s +01d13m44s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,04h15m05.1s -18d22m44s,1.02,0.9999,0.225,Forming,K-Band (IR),PROTO-MATTER,,,,16000,23h53m31.2s +10d30m07s,0.37,0.6759,0.179,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,02h32m28.2s +45d22m48s,0.94,0.859,0.281,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,06h26m18.9s +22d46m54s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h34m09.7s -39d02m26s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h53m48.4s +22d29m40s,0.66,0.9999,0.144,Ghost,Radio / CMB,DARK MATTER,,,18000,03h12m09.9s +09d13m52s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h50m12.5s +30d05m19s,1.35,0.8742,0.389,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,01h22m14.2s -30d01m18s,0.81,0.8357,0.254,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,12h49m20.7s +01d10m44s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,04h13m48.2s -18d16m57s,0.5,0.6688,0.247,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,23h54m28.9s +10d29m31s,0.37,0.6759,0.179,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,02h33m12.9s +45d25m39s,0.94,0.859,0.281,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,06h25m44.3s +22d47m07s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h32m18.9s -38d57m30s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h55m02.1s +22d36m39s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,18000,03h11m54.3s +09d15m05s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h51m11.5s +30d04m09s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h23m01.1s -29d58m29s,1.26,0.9999,0.278,Forming,K-Band (IR),PROTO-MATTER,,,28000,12h50m20.5s +01d07m44s,0.77,0.8213,0.253,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,04h08m40.5s -17d53m47s,1.76,0.9999,0.386,High-Tension,B/V (Violet),CALCIUM,,,,16000,00h02m10.4s +10d24m47s,1.94,0.9999,0.428,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,7300,02h33m57.5s +45d28m29s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h24m34.9s +22d47m31s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h31m05.0s -38d54m13s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,800,07h55m14.3s +22d37m49s,0.76,0.9999,0.167,Ghost,Radio / CMB,DARK MATTER,,,18000,03h11m38.7s +09d16m19s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h52m10.4s +30d02m60s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h25m21.8s -29d50m01s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,12h51m20.3s +01d04m43s,0.77,0.8213,0.253,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,04h08m02.0s -17d50m53s,1.29,0.9793,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,00h04m05.7s +10d23m36s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,02h36m11.4s +45d37m01s,2.67,0.9999,0.588,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,6500,06h24m00.3s +22d47m44s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h30m28.1s -38d52m34s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h55m26.6s +22d38m58s,1.62,0.9999,0.358,Stable,V-Band (Green),MAGNESIUM,,,18000,03h09m02.5s +09d28m34s,1.61,0.9761,0.371,High-Tension,B/V (Violet),CALCIUM,,,7800,03h54m08.3s +30d00m41s,1.6,0.9999,0.352,Stable,V-Band (Green),MAGNESIUM,,,11000,01h27m42.6s -29d41m33s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,12h52m20.1s +01d01m43s,0.77,0.8213,0.253,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,04h06m06.5s -17d42m12s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,00h05m03.4s +10d23m00s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,02h36m56.0s +45d39m52s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h23m25.6s +22d47m56s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h29m14.2s -38d49m17s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h55m38.9s +22d40m08s,1.15,0.9468,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h07m28.8s +09d35m55s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h57m05.1s +29d57m12s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h30m50.2s -29d30m17s,0.84,0.9999,0.185,Forming,K-Band (IR),PROTO-MATTER,,,28000,12h54m19.8s +00d55m42s,1.87,0.9822,0.426,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,26000,04h03m32.4s -17d30m37s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,,16000,00h06m01.1s +10d22m25s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,02h37m40.6s +45d42m42s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h19m57.7s +22d49m10s,0.85,0.7992,0.292,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h28m37.2s -38d47m38s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h56m03.4s +22d42m28s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h07m13.2s +09d37m09s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,03h58m04.1s +29d56m02s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h32m24.0s -29d24m38s,0.73,0.9981,0.162,Ghost,Radio / CMB,DARK MATTER,,,28000,13h04m17.9s +00d25m38s,2,0.9999,0.441,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,26000,04h02m53.9s -17d27m43s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,00h09m51.8s +10d20m02s,0.82,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,7300,02h39m09.9s +45d48m24s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,6500,06h19m23.1s +22d49m23s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h28m00.3s -38d45m59s,0.34,0.6892,0.156,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h56m27.9s +22d44m47s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h06m57.6s +09d38m22s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,04h03m57.8s +29d49m04s,1.65,0.9999,0.363,High-Tension,B/V (Violet),CALCIUM,,,11000,01h35m31.7s -29d13m21s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,13h14m16.0s +00d04m26s,1.04,0.9406,0.258,Forming,K-Band (IR),PROTO-MATTER,
,26000,04h02m15.3s -17d24m50s,1.22,0.9999,0.268,Forming,K-Band (IR),PROTO-MATTER,,,,16000,00h10m49.5s +10d19m27s,0.82,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,7300,02h39m54.5s +45d51m14s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,6500,06h18m48.4s +22d49m35s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h27m23.3s -38d44m20s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h56m40.1s +22d45m57s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h06m26.4s +09d40m49s,0.99,0.9999,0.217,Forming,K-Band (IR),PROTO-MATTER,,,7800,04h04m56.7s +29d47m55s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h37m05.6s -29d07m43s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,13h17m15.4s +00d13m28s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,04h00m58.2s -17d19m02s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,00h11m47.1s +10d18m51s,0.82,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,7300,02h41m23.7s +45d56m55s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h18m13.8s +22d49m48s,0.89,0.768,0.331,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h26m09.4s -38d41m03s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h56m52.4s +22d47m07s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h05m08.4s +09d46m56s,0.76,0.8044,0.257,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,04h11m49.3s +29d39m47s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h38m39.4s -29d02m05s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,13h18m15.2s +00d16m28s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h56m28.1s -16d58m46s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,00h18m30.9s +10d14m43s,0.67,0.8495,0.204,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,02h42m08.4s +45d59m46s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h15m55.2s +22d50m37s,1.16,0.9363,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h24m55.4s -38d37m45s,0.82,0.9999,0.181,Forming,K-Band (IR),PROTO-MATTER,,,800,07h57m16.9s +22d49m26s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h04m52.8s +09d48m10s,0.76,0.8044,0.257,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,04h12m48.3s +29d38m37s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h39m26.4s -28d59m15s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,13h19m15.1s +00d19m28s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,03h55m49.5s -16d55m53s,1.57,0.9999,0.344,Stable,V-Band (Green),MAGNESIUM,,,,16000,00h19m28.5s +10d14m07s,0.67,0.8495,0.204,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,02h43m37.6s +46d05m27s,2.97,0.9999,0.653,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,6500,06h15m20.6s +22d50m50s,1.16,0.9363,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,06h24m18.4s -38d36m07s,1.3,0.9471,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h57m29.1s +22d50m36s,1.2,0.871,0.349,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h04m37.2s +09d49m23s,0.76,0.8044,0.257,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,04h13m47.2s +29d37m28s,2.01,0.9999,0.441,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,11000,01h40m13.3s -28d56m26s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,13h23m14.3s +00d31m30s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
