SECTION C,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,10,11h21m18.4s -06d47m09s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29,16h11m06.1s +30d14m45s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,440,02h48m36.7s +79d19m26s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,483,07h19m06.9s +31d58m20s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40,19h39m00.4s +03d47m17s,1.18,0.9374,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,14,09h33m14.5s +11d22m52s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6,19h44m16.2s -46d45m51s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,557,14h03m15.7s -20d22m20s,1.32,0.9779,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,875,02h24m52.1s -01d10m35s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,17h02m38.9s +09d37m08s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,11h23m22.7s -06d42m03s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29,16h14m07.4s +29d46m49s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,440,02h55m54.6s +79d14m32s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,485,06h17m26.2s +30d54m32s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40,19h47m39.5s +03d15m16s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,14,09h31m05.7s +11d32m56s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6,19h45m19.4s -46d43m19s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,558,13h49m48.1s -20d09m10s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,875,02h38m37.1s -01d23m19s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,16h59m28.6s +09d35m44s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,11h24m45.1s -06d38m39s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29,16h16m17.5s +29d29m50s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,440,02h57m46.0s +79d13m21s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,486,04h42m00.0s +29d21m56s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40,19h49m11.2s +03d09m28s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,14,09h29m11.6s +11d39m27s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6,19h46m22.6s -46d40m47s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,558,13h46m18.0s -20d05m44s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,876,02h42m47.5s -01d26m60s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,16h56m17.0s +09d34m18s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,11h28m49.6s -06d28m33s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29,16h16m40.8s +29d26m59s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,440,03h05m19.3s +79d08m44s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,486,04h31m40.1s +29d11m55s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40,19h50m41.9s +03d03m41s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,14,09h28m57.7s +11d40m09s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6,19h47m25.8s -46d38m15s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,559,13h37m46.0s -19d56m27s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,876,03h02m23.4s -01d43m45s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,16h51m59.4s +09d32m19s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,11h33m30.0s -06d16m52s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29,16h17m04.5s +29d24m07s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,440,03h23m02.5s +78d59m10s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,487,04h10m43.0s +28d51m31s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41,19h52m56.4s +02d54m60s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,14,09h27m59.4s +11d42m54s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6,19h54m49.3s -46d20m36s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,560,13h38m28.1s -19d55m47s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,877,03h29m49.1s -02d06m30s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,16h39m59.0s +09d26m28s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,11h34m49.1s -06d13m33s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29,16h17m28.6s +29d21m16s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,441,03h41m42.1s +78d50m46s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,488,03h17m12.1s +27d58m19s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41,19h55m52.5s +02d43m27s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,14,09h27m13.1s +11d44m55s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6,19h56m56.3s -46d15m34s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,561,13h46m51.8s -20d00m20s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,877,03h33m12.2s -02d09m18s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,16h32m11.6s +09d22m27s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,11h40m01.2s -06d00m24s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29,16h20m03.0s +29d04m00s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,441,03h43m49.7s +78d49m55s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,489,01h40m54.7s +26d15m12s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41,19h57m19.2s +02d37m42s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,14,09h23m06.6s +11d53m48s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6,19h57m59.8s -46d13m03s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,562,14h15m06.5s -20d19m04s,1.04,0.824,0.337,Collapse,X-Ray / Gamma,SINGULARITY,,,878,03h58m40.6s -02d30m13s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,16h24m17.5s +09d18m11s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,11h41m56.4s -05d55m31s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29,16h20m30.3s +29d01m06s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,441,03h48m07.0s +78d48m15s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,489,01h30m31.8s +26d03m12s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,Mode Matches,,,,,,,,,,,14,09h20m23.3s +11d58m28s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6,19h59m03.4s -46d10m32s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,562,14h23m04.5s -20d24m36s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,878,04h31m20.8s -02d57m13s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,16h22m00.8s +09d16m55s,1.25,0.9544,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,11,11h44m28.4s -05d49m02s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29,16h20m58.1s +28d58m13s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,441,03h59m00.8s +78d44m20s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,491,23h46m17.5s +23d45m04s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h18m38.9s +16d43m40s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,14,09h16m12.2s +12d04m24s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6,20h00m07.0s -46d08m01s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,565,16h17m43.8s -21d50m16s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,879,04h44m28.9s -03d08m10s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,16h19m43.6s +09d15m38s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,11,11h45m06.1s -05d47m25s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29,16h23m54.1s +28d40m43s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,441,04h01m13.3s +78d43m36s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,492,23h22m17.0s +23d05m39s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h24m32.0s +16d25m44s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,Mode Matches,,,,,,,,,,Mode Matches,,,,,,,,,,,566,16h56m07.5s -22d21m35s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,879,04h58m03.4s -03d19m36s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,16h15m07.7s +09d13m01s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,11,11h47m35.9s -05d40m59s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29,16h25m28.3s +28d31m54s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,441,04h07m54.3s +78d41m29s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,494,22h13m24.3s +20d22m26s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h30m29.3s +16d07m47s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h36m22.7s +06d56m29s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4,15h28m10.5s -58d48m52s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,566,17h24m32.0s -22d45m45s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,879,05h16m46.8s -03d35m32s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,16h12m49.0s +09d11m40s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,11,11h48m13.0s -05d39m23s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29,16h27m06.5s +28d23m03s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,441,04h26m07.5s +78d36m30s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,Mode Matches,,,,,,,,,,,37,15h32m29.3s +16d01m47s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h43m10.5s +07d14m57s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4,15h36m21.4s -58d20m49s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,566,17h41m13.2s -23d00m23s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,879,05h21m33.9s -03d39m38s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,16h11m39.4s +09d10m60s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
Mode Matches,,,,,,,,,,,,29,16h28m48.9s +28d14m10s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,442,04h30m45.8s +78d35m25s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,444,04h45m12.8s +22d58m27s,1.52,0.9999,0.334,Stable,V-Band (Green),MAGNESIUM,,,37,15h38m31.9s +15d43m47s,1.46,0.9999,0.322,Stable,V-Band (Green),MAGNESIUM,,,12,08h44m58.0s +07d19m54s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4,15h42m09.4s -58d01m14s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,567,17h49m39.9s -23d07m56s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,880,05h56m04.4s -04d09m48s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,16h09m19.9s +09d09m38s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,07h46m40.3s -15d05m42s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29,16h31m11.7s +28d02m14s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,442,04h35m26.1s +78d34m24s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,449,05h27m45.3s +23d23m48s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h45m39.4s +15d22m44s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h50m10.2s +07d34m33s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,15h47m10.4s -57d44m29s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,567,17h53m54.7s -23d11m45s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,880,06h06m13.0s -04d18m52s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,16h08m10.0s +09d08m56s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,07h50m35.1s -14d56m35s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29,16h31m48.5s +27d59m15s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,442,04h54m24.8s +78d30m56s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,450,05h27m30.7s +23d33m02s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h46m40.8s +15d19m43s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h52m24.1s +07d40m57s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,15h49m41.9s -57d36m08s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,567,18h02m26.6s -23d19m31s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,880,06h16m27.9s -04d28m08s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,16h05m49.7s +09d07m32s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h04m12.8s -14d24m59s,1.53,0.9999,0.336,Stable,V-Band (Green),MAGNESIUM,,,,29,16h33m03.6s +27d53m15s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,442,05h04m03.9s +78d29m35s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,451,05h19m38.5s +23d58m46s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h53m53.4s +14d58m38s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h54m02.5s +07d45m43s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,15h57m20.2s -57d11m05s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,568,19h42m21.3s -24d59m12s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,881,06h37m13.9s -04d47m14s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,15h58m46.0s +09d03m14s,1.32,0.9662,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h06m09.0s -14d20m30s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,30,16h40m29.0s +27d19m57s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,442,05h16m15.6s +78d28m16s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,452,05h08m31.9s +24d19m39s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h59m04.9s +14d43m32s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h55m39.2s +07d50m26s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,15h58m11.5s -57d08m19s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,568,19h46m40.7s -25d03m57s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,881,06h58m16.5s -05d07m07s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,20,15h43m13.5s +08d53m18s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h20m35.9s -13d47m10s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,30,16h47m14.5s +26d52m18s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,442,05h23m38.5s +78d27m41s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,452,05h06m13.6s +24d23m24s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,16h04m18.2s +14d28m26s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h56m11.1s +07d52m00s,0.93,0.7972,0.321,Collapse,X-Ray / Gamma,SINGULARITY,,,5,16h00m45.7s -56d59m59s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,569,20h29m13.1s -25d53m24s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,881,07h35m27.2s -05d43m44s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,20,15h42m01.0s +08d52m30s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h21m33.4s -13d44m58s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,30,16h48m49.6s +26d46m06s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,442,05h36m02.3s +78d27m01s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,453,04h55m44.9s +24d39m11s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,16h07m27.1s +14d19m22s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h57m45.5s +07d56m41s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h16m23.8s -56d10m11s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,569,20h57m54.2s -26d30m00s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,882,07h40m46.6s -05d49m09s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,20,15h38m22.7s +08d50m04s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h37m43.6s -13d07m48s,1.01,0.8108,0.338,Collapse,X-Ray / Gamma,SINGULARITY,,,,30,16h53m46.0s +26d27m26s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,442,05h38m31.8s +78d26m56s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,454,04h46m37.4s +24d51m49s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38,16h25m27.5s +13d27m53s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h59m48.6s +08d02m51s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h18m09.4s -56d04m40s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,,,,,,,,,,882,07h56m43.2s -06d05m40s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,20,15h37m09.7s +08d49m15s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h43m22.8s -12d54m50s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,30,16h57m12.6s +26d14m54s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,443,05h46m01.7s +78d26m47s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,455,04h21m31.9s +25d23m43s,0.54,0.6001,0.328,Collapse,X-Ray / Gamma,SINGULARITY,,,38,16h39m22.5s +12d48m25s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,09h01m18.8s +08d07m27s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h19m55.2s -55d59m09s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,,,,,,,,,,882,08h38m46.8s -06d51m44s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,20,15h35m56.6s +08d48m26s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h44m19.2s -12d52m41s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,Mode Matches,,,,,,,,,,,443,05h48m32.0s +78d26m46s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,456,03h47m38.2s +26d04m02s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38,16h49m03.5s +12d21m05s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,09h02m18.0s +08d10m29s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,16h25m14.3s -55d42m39s,1.48,0.9999,0.325,Stable,V-Band (Green),MAGNESIUM,,,,,,,,,,,,,883,09h09m28.4s -07d28m08s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,20,15h34m43.5s +08d47m36s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
