SECTION B,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,#REF!,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,1356,09h16m32.3s -06d19m32s,1.61,0.9999,0.354,Stable,V-Band (Green),MAGNESIUM,,,,7038,22h33m58.2s -21d34m30s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8590,16h19m59.3s -65d07m01s,2.56,0.8947,0.703,Collapse,X-Ray / Gamma,SINGULARITY,,,4154,23h32m40.8s -17d05m48s,1.35,0.8481,0.412,Collapse,X-Ray / Gamma,SINGULARITY,,,5220,23h20m18.3s -32d01m10s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,467,14h18m02.3s -15d33m06s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160261,16h56m22.0s -77d37m08s,1.47,0.9999,0.323,Stable,V-Band (Green),MAGNESIUM,,,2270,01h48m33.7s +52d33m50s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5253,12h43m45.6s +12d30m13s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5540,00h01m17.6s -25d54m14s,0.43,0.736,0.174,Collapse,X-Ray / Gamma,SINGULARITY,
,1356,09h19m07.4s -06d23m30s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7038,22h44m25.8s -21d29m14s,0.71,0.9611,0.17,Ghost,Radio / CMB,DARK MATTER,,,8592,15h00m50.5s -66d11m31s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4155,23h36m35.3s -16d40m48s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5220,23h24m29.7s -32d05m38s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,468,14h19m44.3s -15d25m60s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160267,14h42m19.1s -76d39m47s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2270,01h47m58.1s +52d48m08s,0.63,0.9999,0.138,Ghost,Radio / CMB,DARK MATTER,,,5254,12h47m35.4s +12d42m55s,1.5,0.9999,0.329,Stable,V-Band (Green),MAGNESIUM,,,5541,23h48m10.6s -25d53m08s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1356,09h21m40.6s -06d27m30s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7040,23h45m44.9s -20d52m42s,0.98,0.9999,0.215,Forming,K-Band (IR),PROTO-MATTER,,,8595,13h14m47.4s -67d19m28s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4155,23h36m50.9s -16d28m45s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5220,23h28m36.1s -32d10m04s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,468,14h24m29.8s -15d08m16s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160273,11h11m28.4s -73d55m07s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2271,01h41m42.6s +53d15m14s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5256,12h49m57.4s +13d53m55s,2.55,0.8061,0.862,Collapse,X-Ray / Gamma,SINGULARITY,,,5542,23h16m22.1s -25d47m38s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1356,09h26m41.2s -06d35m36s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7041,00h14m24.1s -20d31m17s,0.72,0.8994,0.197,Collapse,X-Ray / Gamma,SINGULARITY,,,8596,12h52m28.7s -67d32m39s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4159,22h37m28.0s -14d47m33s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5220,23h32m36.9s -32d14m26s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,468,14h28m49.9s -14d54m08s,0.74,0.7579,0.284,Collapse,X-Ray / Gamma,SINGULARITY,,,160281,11h49m54.8s -68d31m10s,2.57,0.9999,0.566,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,2272,01h36m03.9s +53d27m58s,0.78,0.9999,0.172,Ghost,Radio / CMB,DARK MATTER,,,5256,12h46m49.1s +14d04m46s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5543,22h48m10.3s -25d40m37s,1.23,0.9999,0.271,Forming,K-Band (IR),PROTO-MATTER,
,1356,09h29m08.4s -06d39m43s,0.78,0.9999,0.172,Ghost,Radio / CMB,DARK MATTER,,,,7041,00h32m19.8s -20d15m52s,1.69,0.8191,0.555,Collapse,X-Ray / Gamma,SINGULARITY,,,8598,12h16m55.9s -67d53m57s,4.29,0.8217,1.398,Collapse,X-Ray / Gamma,SINGULARITY,,,4163,20h10m29.6s -13d50m37s,3.58,0.9999,0.789,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,5220,23h36m32.2s -32d18m46s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,468,14h29m59.3s -14d50m37s,0.91,0.9398,0.226,Forming,K-Band (IR),PROTO-MATTER,,,160289,16h37m16.0s -63d06m43s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2273,01h09m26.7s +54d02m40s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,5257,12h31m22.9s +14d35m25s,1.08,0.9999,0.239,Forming,K-Band (IR),PROTO-MATTER,,,5543,22h16m52.8s -25d31m03s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1357,09h40m51.2s -07d00m47s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7041,00h49m06.3s -19d59m33s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8600,11h52m33.1s -68d12m19s,0.88,0.9999,0.193,Forming,K-Band (IR),PROTO-MATTER,,,4163,19h53m29.3s -13d47m47s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5220,23h40m21.5s -32d23m03s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,468,14h31m10.5s -14d47m05s,0.71,0.9999,0.157,Ghost,Radio / CMB,DARK MATTER,,,160291,17h09m13.4s -62d01m46s,0.66,0.9999,0.146,Ghost,Radio / CMB,DARK MATTER,,,2274,00h44m12.0s +54d22m42s,1.8,0.9999,0.395,High-Tension,B/V (Violet),CALCIUM,,,5260,11h10m06.2s +15d41m08s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5544,22h05m52.3s -25d27m18s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1357,09h47m24.0s -07d13m50s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7042,01h11m44.2s -19d33m25s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8601,11h53m11.2s -68d14m38s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4165,18h13m13.4s -13d42m38s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5221,23h51m11.7s -32d35m35s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,468,14h32m23.5s -14d43m34s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160297,15h37m25.3s -59d54m27s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2274,00h29m33.7s +54d31m43s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5260,10h56m30.5s +15d47m32s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5544,21h31m29.3s -25d14m20s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1357,09h51m32.8s -07d22m42s,3.13,0.8258,1.011,Collapse,X-Ray / Gamma,SINGULARITY,,,,7043,01h36m21.6s -18d55m32s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8603,12h21m49.6s -68d09m43s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4166,17h28m25.1s -13d47m56s,1.16,0.9999,0.256,Forming,K-Band (IR),PROTO-MATTER,,,5221,23h57m51.4s -32d43m41s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,468,14h33m38.2s -14d40m03s,0.52,0.8596,0.154,Collapse,X-Ray / Gamma,SINGULARITY,,,160301,12h56m04.4s -59d37m21s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2275,23h56m45.6s +54d47m40s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5260,10h42m19.0s +15d53m31s,1.21,0.9999,0.265,Forming,K-Band (IR),PROTO-MATTER,,,5545,20h55m39.3s -24d58m47s,2.04,0.9999,0.449,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,1358,10h01m05.2s -07d45m26s,1,0.9999,0.221,Forming,K-Band (IR),PROTO-MATTER,,,,7044,01h53m37.9s -18d14m20s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8607,14h21m55.6s -67d21m25s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4168,16h39m30.8s -14d03m24s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5221,00h01m00.5s -32d47m39s,2.13,0.8724,0.617,Collapse,X-Ray / Gamma,SINGULARITY,,,468,14h36m13.0s -14d33m02s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160303,11h39m54.2s -59d50m48s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2278,21h38m20.9s +55d20m06s,6,0.9999,1.321,Fuel,UV / Lyman,HYDROGEN,,,5261,10h12m23.3s +16d04m06s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5546,20h19m10.9s -24d40m40s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1358,10h07m48.5s -08d04m12s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7044,01h56m41.7s -18d03m32s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8608,14h52m17.3s -67d05m51s,0.98,0.9999,0.216,Forming,K-Band (IR),PROTO-MATTER,,,4170,16h02m14.5s -14d36m22s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5221,00h09m41.8s -32d59m11s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,468,14h37m33.0s -14d29m31s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160307,10h15m51.2s -61d00m40s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2282,19h06m17.8s +55d08m40s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5262,09h08m11.4s +16d19m45s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5546,20h07m01.6s -24d34m04s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1358,10h12m16.6s -08d18m37s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7044,01h59m13.8s -17d52m33s,1.71,0.9999,0.376,High-Tension,B/V (Violet),CALCIUM,,,8609,15h53m58.4s -66d29m05s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4170,15h58m31.1s -14d44m46s,1.6,0.9999,0.353,Stable,V-Band (Green),MAGNESIUM,,,5222,00h12m19.7s -33d02m54s,2.2,0.8748,0.632,Collapse,X-Ray / Gamma,SINGULARITY,,,469,14h43m10.7s -14d15m33s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160311,11h00m52.2s -63d02m15s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2282,18h51m25.6s +55d03m26s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5263,08h35m03.0s +16d24m40s,0.78,0.9999,0.171,Ghost,Radio / CMB,DARK MATTER,,,5546,19h54m55.5s -24d27m11s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1358,10h16m13.7s -08d33m17s,1.23,0.9999,0.271,Forming,K-Band (IR),PROTO-MATTER,,,,7045,02h01m13.8s -17d41m22s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8611,16h52m04.0s -65d45m10s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4171,15h55m25.1s -15d13m32s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5222,00h14m49.2s -33d06m34s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,469,14h46m10.1s -14d08m35s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160321,17h06m43.2s -70d26m12s,1.03,0.9999,0.227,Forming,K-Band (IR),PROTO-MATTER,,,2283,18h37m55.8s +54d57m21s,1.69,0.9999,0.373,High-Tension,B/V (Violet),CALCIUM,,,5264,08h02m00.5s +16d27m35s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5547,19h42m54.5s -24d20m00s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1359,10h17m25.6s -08d38m14s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7045,02h02m41.1s -17d29m60s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8612,17h17m59.6s -65d20m41s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4171,15h57m07.8s -15d24m19s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5222,00h23m20.7s -33d20m35s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,469,14h50m52.2s -13d58m11s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160323,17h29m35.6s -72d01m21s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2284,17h59m48.8s +54d24m30s,0.75,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,5264,07h29m40.2s +16d28m28s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5547,19h19m15.7s -24d04m49s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1359,10h21m36.2s -08d58m19s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7047,01h54m03.7s -15d52m43s,1.71,0.9999,0.376,High-Tension,B/V (Violet),CALCIUM,,,8615,18h26m50.9s -63d27m50s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,4172,16h04m41.8s -15d47m35s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5222,00h26m42.0s -33d27m11s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,469,14h54m09.0s -13d51m17s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160331,13h52m03.9s -77d22m41s,0.57,0.8497,0.174,Collapse,X-Ray / Gamma,SINGULARITY,,,2285,17h54m40.9s +54d14m11s,1.32,0.853,0.398,Collapse,X-Ray / Gamma,SINGULARITY,,,5267,05h39m06.5s +16d10m59s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5547,19h07m41.6s -23d56m49s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1359,10h23m18.7s -09d08m31s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7047,01h50m25.3s -15d39m49s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8615,18h33m06.8s -62d56m22s,2.09,0.9999,0.461,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,4172,16h10m31.8s -16d00m05s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5223,00h29m25.2s -33d33m31s,2.9,0.9999,0.638,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,469,14h59m17.2s -13d40m58s,1.69,0.9999,0.373,High-Tension,B/V (Violet),CALCIUM,,,160335,11h07m29.8s -78d58m24s,0.74,0.9999,0.164,Ghost,Radio / CMB,DARK MATTER,,,2286,17h50m07.0s +53d51m02s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5269,04h55m53.7s +15d42m35s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5548,18h56m20.3s -23d48m32s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1359,10h25m22.8s -09d24m02s,1.86,0.9999,0.409,High-Tension,B/V (Violet),CALCIUM,,,,7049,00h53m11.4s -13d37m34s,1.15,0.9999,0.254,Forming,K-Band (IR),PROTO-MATTER,,,8617,18h30m47.1s -61d50m18s,0.82,0.8265,0.265,Collapse,X-Ray / Gamma,SINGULARITY,,,4173,16h17m42.2s -16d13m08s,6.76,0.8848,1.901,Collapse,X-Ray / Gamma,SINGULARITY,,,5223,00h33m19.6s -33d48m04s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,469,15h02m51.2s -13d34m07s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160341,10h18m23.0s -79d28m51s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2286,17h50m44.9s +53d38m15s,1.38,0.9758,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5269,04h50m23.1s +15d35m17s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5548,18h23m51.4s -23d22m02s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1360,10h27m52.3s -10d11m59s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7050,00h34m57.7s -13d09m05s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8618,18h22m09.2s -61d15m56s,0.68,0.8536,0.205,Collapse,X-Ray / Gamma,SINGULARITY,,,4174,16h35m57.0s -16d40m53s,0.75,0.9999,0.164,Ghost,Radio / CMB,DARK MATTER,,,5224,00h33m35.7s -33d50m45s,0.75,0.7317,0.31,Collapse,X-Ray / Gamma,SINGULARITY,,,469,15h10m19.6s -13d20m30s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160351,16h47m08.6s -75d11m13s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2287,17h57m53.6s +53d10m14s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5270,04h39m55.7s +15d00m45s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5549,18h13m39.5s -23d12m40s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1360,10h27m47.5s -10d17m26s,0.88,0.9999,0.193,Forming,K-Band (IR),PROTO-MATTER,,,,7050,00h14m59.4s -12d40m12s,1.37,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8618,18h08m42.9s -60d40m51s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4174,16h59m07.0s -17d10m47s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5224,00h33m41.3s -33d53m22s,1.17,0.9269,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,469,15h14m13.8s -13d13m44s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160353,17h34m19.1s -73d42m29s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2288,18h12m46.3s +52d39m06s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5271,04h41m55.4s +14d40m18s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,5549,18h03m49.3s -23d03m01s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1360,10h27m24.7s -10d28m24s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7051,23h53m25.9s -12d10m59s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8622,16h02m45.8s -57d39m10s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4175,17h42m06.8s -17d59m29s,0.5,0.8597,0.15,Collapse,X-Ray / Gamma,SINGULARITY,,,5224,00h32m54.4s -34d00m42s,0.97,0.9999,0.212,Forming,K-Band (IR),PROTO-MATTER,,,470,15h18m14.7s -13d06m60s,1.02,0.9999,0.225,Forming,K-Band (IR),PROTO-MATTER,,,160357,17h19m55.8s -70d23m29s,0.11,0.2951,0.285,Collapse,X-Ray / Gamma,SINGULARITY,,,2291,20h19m31.4s +50d05m36s,1.07,0.9999,0.235,Forming,K-Band (IR),PROTO-MATTER,,,5272,04h54m04.5s +14d05m45s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5549,17h54m22.7s -22d53m07s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1360,10h27m06.6s -10d33m55s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7051,23h42m06.6s -11d56m15s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8623,15h29m48.6s -57d02m34s,1.61,0.9999,0.354,Stable,V-Band (Green),MAGNESIUM,,,4177,19h10m46.8s -19d30m07s,3.32,0.9999,0.73,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,5224,00h32m17.3s -34d02m60s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,470,15h22m22.2s -13d00m18s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160361,14h55m38.6s -66d52m49s,0.73,0.9999,0.161,Ghost,Radio / CMB,DARK MATTER,,,2292,21h03m38.3s +49d20m46s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5273,05h16m57.3s +13d26m40s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,5549,17h45m21.2s -22d42m57s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1360,10h26m44.1s -10d39m27s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7052,23h06m15.3s -11d11m39s,1.03,0.9999,0.226,Forming,K-Band (IR),PROTO-MATTER,,,8624,14h55m56.0s -56d26m12s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4178,19h30m15.7s -19d49m33s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5224,00h30m30.4s -34d07m19s,1.77,0.7466,0.697,Collapse,X-Ray / Gamma,SINGULARITY,,,470,15h24m28.4s -12d56m57s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160363,13h19m57.4s -65d09m50s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2293,21h50m22.1s +48d33m41s,0.5,0.756,0.193,Collapse,X-Ray / Gamma,SINGULARITY,,,5273,05h26m51.5s +13d12m40s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5550,17h36m46.5s -22d32m32s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1361,10h22m53.8s -11d13m08s,1.72,0.9999,0.378,High-Tension,B/V (Violet),CALCIUM,,,,7052,22h53m45.3s -10d56m40s,0.75,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,8625,14h21m55.9s -55d50m14s,0.38,0.5419,0.281,Collapse,X-Ray / Gamma,SINGULARITY,,,4178,20h10m09.8s -20d29m36s,1.19,0.9527,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5225,00h27m59.7s -34d11m18s,0.35,0.6565,0.18,Collapse,X-Ray / Gamma,SINGULARITY,,,470,15h39m56.6s -12d33m48s,1.53,0.9999,0.337,Stable,V-Band (Green),MAGNESIUM,,,160365,11h48m11.5s -63d32m02s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,2295,23h49m21.6s +46d27m40s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5274,05h37m50.5s +12d58m11s,2.33,0.9999,0.513,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,5550,17h21m03.3s -22d10m55s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
