--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---
--- IMAGE REDIRECT ACTIVE ---
--- INITIATING DEEP DRILL SCAN ---
Target: RA 17.761, DEC -29.008
Volume: 26000 to 26000.1 XYZ

XYZ      | Coordinate             | PULL   | Sync   | m      | Stab.         | Band            | IDENTITY
16000    | 21h38m53.5s +11d53m12s | 1.33   | 0.9999 | 0.292  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 21h45m37.5s +11d49m02s | 1.30   | 0.9999 | 0.287  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 21h46m35.2s +11d48m26s | 1.30   | 0.9999 | 0.287  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 21h47m32.9s +11d47m51s | 1.30   | 0.9999 | 0.287  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 21h51m23.8s +11d45m28s | 1.32   | 0.9999 | 0.290  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 21h52m21.5s +11d44m52s | 1.32   | 0.9999 | 0.290  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 21h53m19.2s +11d44m17s | 1.32   | 0.9999 | 0.290  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 21h57m10.0s +11d41m54s | 1.77   | 0.9999 | 0.390  | High-Tension  | B/V (Violet)    | CALCIUM
16000    | 22h06m47.1s +11d35m58s | 1.16   | 0.9999 | 0.255  | Forming       | K-Band (IR)     | PROTO-MATTER
16000    | 22h14m28.8s +11d31m12s | 1.33   | 0.9999 | 0.293  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h15m26.5s +11d30m37s | 1.33   | 0.9999 | 0.293  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h16m24.2s +11d30m01s | 1.33   | 0.9999 | 0.293  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h23m08.1s +11d25m52s | 1.39   | 0.9999 | 0.306  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h24m05.8s +11d25m16s | 1.39   | 0.9999 | 0.306  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h25m03.5s +11d24m40s | 1.39   | 0.9999 | 0.306  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h26m01.2s +11d24m05s | 1.37   | 0.9999 | 0.301  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h26m58.9s +11d23m29s | 1.37   | 0.9999 | 0.301  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h27m56.6s +11d22m54s | 1.37   | 0.9999 | 0.301  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h28m54.3s +11d22m18s | 1.43   | 0.9999 | 0.315  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h29m52.0s +11d21m42s | 1.43   | 0.9999 | 0.315  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h30m49.7s +11d21m07s | 1.43   | 0.9999 | 0.315  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h35m38.2s +11d18m09s | 1.26   | 0.9999 | 0.277  | Forming       | K-Band (IR)     | PROTO-MATTER
16000    | 22h40m26.7s +11d15m10s | 1.36   | 0.9999 | 0.299  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
16000    | 22h41m24.4s +11d14m35s | 1.36   | 0.9999 | 0.299  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
